Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ JUN26,Sim101,,Short,1,24100.25,24166.75,4/1/2026 6:54:52 AM,4/1/2026 7:08:11 AM,,Close,($1330.00),($1330.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1385.00,$335.00,$1665.00,0,
2,NQ JUN26,Sim101,,Long,1,24166.75,24148.00,4/1/2026 7:08:11 AM,4/1/2026 7:11:05 AM,,Close,($375.00),($1705.00),$0.00,$0.00,$0.00,$0.00,$0.00,$615.00,$225.00,$600.00,0,
3,NQ JUN26,Sim101,,Short,1,24148.00,24206.50,4/1/2026 7:11:05 AM,4/1/2026 7:22:38 AM,,Close,($1170.00),($2875.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1255.00,$325.00,$1495.00,0,
4,NQ JUN26,Sim101,,Long,1,24206.25,24182.25,4/1/2026 7:22:38 AM,4/1/2026 7:25:19 AM,,Close,($480.00),($3355.00),$0.00,$0.00,$0.00,$0.00,$0.00,$880.00,$70.00,$550.00,0,
5,NQ JUN26,Sim101,,Short,1,24182.75,24318.00,4/1/2026 7:25:19 AM,4/1/2026 9:37:35 AM,,Close,($2705.00),($6060.00),$0.00,$0.00,$0.00,$0.00,$0.00,$2940.00,$1035.00,$3740.00,0,
6,NQ JUN26,Sim101,,Long,1,24318.00,24188.75,4/1/2026 9:37:35 AM,4/1/2026 1:03:26 PM,,Close,($2585.00),($8645.00),$0.00,$0.00,$0.00,$0.00,$0.00,$3870.00,$605.00,$3190.00,0,
7,NQ JUN26,Sim101,,Long,1,23953.00,23807.00,4/1/2026 6:35:05 PM,4/1/2026 10:17:09 PM,,Close,($2920.00),($11565.00),$0.00,$0.00,$0.00,$0.00,$0.00,$3160.00,$460.00,$3380.00,0,
8,NQ JUN26,Sim101,,Long,1,23822.75,23806.75,4/1/2026 8:58:00 PM,4/1/2026 10:17:09 PM,,Close,($320.00),($11885.00),$0.00,$0.00,$0.00,$0.00,$0.00,$555.00,$370.00,$690.00,0,
9,NQ JUN26,Sim101,,Short,1,24275.00,24378.75,4/6/2026 6:40:25 AM,4/6/2026 6:49:12 AM,,Close,($2075.00),($13960.00),$0.00,$0.00,$0.00,$0.00,$0.00,$2175.00,$25.00,$2100.00,0,
10,NQ JUN26,Sim101,,Long,1,24378.75,24317.00,4/6/2026 6:49:12 AM,4/6/2026 7:04:41 AM,,Close,($1235.00),($15195.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1415.00,$1470.00,$2705.00,0,
11,NQ JUN26,Sim101,,Short,1,24317.00,24307.50,4/6/2026 7:04:41 AM,4/6/2026 8:14:49 AM,,Close,$190.00,($15005.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1485.00,$1095.00,$905.00,0,
12,NQ JUN26,Sim101,,Short,1,24346.75,24336.75,4/6/2026 11:28:29 AM,4/6/2026 12:31:04 PM,,Close,$200.00,($14805.00),$0.00,$0.00,$0.00,$0.00,$0.00,$225.00,$455.00,$255.00,0,
13,NQ JUN26,Sim101,,Short,1,24227.25,24216.75,4/7/2026 10:03:47 AM,4/7/2026 10:13:08 AM,,Close,$210.00,($14595.00),$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$420.00,$210.00,0,
14,NQ JUN26,Sim101,,Long,1,25104.25,24975.25,4/8/2026 6:45:07 AM,4/8/2026 7:55:25 AM,,Close,($2580.00),($17175.00),$0.00,$0.00,$0.00,$0.00,$0.00,$2590.00,$1140.00,$3720.00,0,
15,NQ JUN26,Sim101,,Long,1,25034.00,24975.25,4/8/2026 7:49:38 AM,4/8/2026 7:55:25 AM,,Close,($1175.00),($18350.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1185.00,$45.00,$1220.00,0,
16,NQ JUN26,Sim101,,Long,1,25022.50,25065.50,4/8/2026 8:28:40 AM,4/8/2026 9:18:12 AM,,Close,$860.00,($17490.00),$0.00,$0.00,$0.00,$0.00,$0.00,$355.00,$1870.00,$1010.00,0,
17,NQ JUN26,Sim101,,Short,1,25024.00,24998.25,4/9/2026 7:03:34 AM,4/9/2026 7:21:32 AM,,Close,$515.00,($16975.00),$0.00,$0.00,$0.00,$0.00,$0.00,$640.00,$960.00,$445.00,0,
18,NQ JUN26,Sim101,,Short,1,25234.25,25180.50,4/9/2026 9:04:40 AM,4/9/2026 9:44:51 AM,,Close,$1075.00,($15900.00),$0.00,$0.00,$0.00,$0.00,$0.00,$305.00,$1310.00,$235.00,0,
19,NQ JUN26,Sim101,,Long,1,25286.25,25326.00,4/10/2026 7:09:57 AM,4/10/2026 8:37:45 AM,,Close,$795.00,($15105.00),$0.00,$0.00,$0.00,$0.00,$0.00,$365.00,$2135.00,$1340.00,0,
20,NQ JUN26,Sim101,,Long,1,25250.25,25272.25,4/10/2026 10:03:34 AM,4/10/2026 10:57:07 AM,,Close,$440.00,($14665.00),$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$515.00,$75.00,0,
21,NQ JUN26,Sim101,,Short,1,25292.50,25294.25,4/10/2026 12:22:28 PM,4/10/2026 1:09:32 PM,,Close,($35.00),($14700.00),$0.00,$0.00,$0.00,$0.00,$0.00,$170.00,$660.00,$695.00,0,
22,NQ JUN26,Sim101,,Short,1,24929.75,25083.50,4/12/2026 4:38:53 PM,4/12/2026 10:24:11 PM,,Close,($3075.00),($17775.00),$0.00,$0.00,$0.00,$0.00,$0.00,$3325.00,$155.00,$3230.00,0,
23,NQ JUN26,Sim101,,Short,1,25174.25,25287.00,4/13/2026 6:12:04 AM,4/13/2026 6:50:28 AM,,Close,($2255.00),($20030.00),$0.00,$0.00,$0.00,$0.00,$0.00,$2320.00,$285.00,$2540.00,0,
