file,src_bar,age,intent,reason,entry_close,now_close,delta
6EOutput0430.txt,34,3,EnterShort,enter_short_structured_persisted,1.16,1.15,0.0
6EOutput0430.txt,34,5,EnterShort,enter_short_structured_persisted,1.16,1.15,0.0
6EOutput0430.txt,34,10,EnterShort,enter_short_structured_persisted,1.16,1.15,0.0
6EOutput0430.txt,45,3,ExitShort,short_dead_signal_exit deg=5,1.15,1.16,0.0
6EOutput0430.txt,46,3,EnterShort,enter_short_structured_persisted,1.15,1.16,0.0
6EOutput0430.txt,45,5,ExitShort,short_dead_signal_exit deg=5,1.15,1.16,0.0
6EOutput0430.txt,48,3,ExitShort,exit_short_no_reverse strong_short_context longScore=0.59 CNT id=2 dir=Down state=PostP3 P1=36@1.16 P2=39@1.15 P3=40@1.15 FTT=NA domLeg=36-39 pb=40-42 post=48-48 postP3Len=1 imbP2=0.00 imbP3=-0.70,1.16,1.16,0.0
6EOutput0430.txt,46,5,EnterShort,enter_short_structured_persisted,1.15,1.16,0.0
6EOutput0430.txt,48,5,ExitShort,exit_short_no_reverse strong_short_context longScore=0.59 CNT id=2 dir=Down state=PostP3 P1=36@1.16 P2=39@1.15 P3=40@1.15 FTT=NA domLeg=36-39 pb=40-42 post=48-48 postP3Len=1 imbP2=0.00 imbP3=-0.70,1.16,1.16,0.0
6EOutput0430.txt,45,10,ExitShort,short_dead_signal_exit deg=5,1.15,1.16,0.0
6EOutput0430.txt,46,10,EnterShort,enter_short_structured_persisted,1.15,1.16,0.0
6EOutput0430.txt,48,10,ExitShort,exit_short_no_reverse strong_short_context longScore=0.59 CNT id=2 dir=Down state=PostP3 P1=36@1.16 P2=39@1.15 P3=40@1.15 FTT=NA domLeg=36-39 pb=40-42 post=48-48 postP3Len=1 imbP2=0.00 imbP3=-0.70,1.16,1.16,0.0
6EOutput0430.txt,66,3,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,66,5,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,66,10,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,75,3,ExitShort,short_dead_signal_exit deg=5,1.16,1.16,0.0
6EOutput0430.txt,76,3,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,75,5,ExitShort,short_dead_signal_exit deg=5,1.16,1.16,0.0
6EOutput0430.txt,78,3,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.83 deg=3,1.16,1.16,0.0
6EOutput0430.txt,76,5,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,78,5,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.83 deg=3,1.16,1.16,0.0
6EOutput0430.txt,75,10,ExitShort,short_dead_signal_exit deg=5,1.16,1.16,0.0
6EOutput0430.txt,76,10,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,78,10,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.83 deg=3,1.16,1.16,0.0
6EOutput0430.txt,86,3,ExitLong,long_decay_exit phase=LongCandidate score=0.74 deg=6 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,1.16,1.16,0.0
6EOutput0430.txt,86,5,ExitLong,long_decay_exit phase=LongCandidate score=0.74 deg=6 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,1.16,1.16,0.0
6EOutput0430.txt,86,10,ExitLong,long_decay_exit phase=LongCandidate score=0.74 deg=6 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,1.16,1.16,0.0
6EOutput0430.txt,155,3,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,155,5,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,161,3,ExitShort,short_ftt_failure_exit CNT id=8 dir=Down state=FttDetected P1=152@1.16 P2=153@1.16 P3=154@1.16 FTT=161@1.16 domLeg=152-153 pb=154-154 post=160-160 postP3Len=1 imbP2=0.00 imbP3=-1.00,1.16,1.16,0.0
6EOutput0430.txt,155,10,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,161,5,ExitShort,short_ftt_failure_exit CNT id=8 dir=Down state=FttDetected P1=152@1.16 P2=153@1.16 P3=154@1.16 FTT=161@1.16 domLeg=152-153 pb=154-154 post=160-160 postP3Len=1 imbP2=0.00 imbP3=-1.00,1.16,1.16,0.0
6EOutput0430.txt,161,10,ExitShort,short_ftt_failure_exit CNT id=8 dir=Down state=FttDetected P1=152@1.16 P2=153@1.16 P3=154@1.16 FTT=161@1.16 domLeg=152-153 pb=154-154 post=160-160 postP3Len=1 imbP2=0.00 imbP3=-1.00,1.16,1.16,0.0
6EOutput0430.txt,170,3,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,170,5,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
6EOutput0430.txt,174,3,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.31 deg=5,1.16,1.16,0.0
6EOutput0430.txt,174,5,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.31 deg=5,1.16,1.16,0.0
6EOutput0430.txt,170,10,EnterShort,enter_short_structured_persisted,1.16,1.16,0.0
CLOutput0430.txt,13,3,EnterShort,enter_short_structured_persisted,110.32,110.78,0.46
CLOutput0430.txt,13,5,EnterShort,enter_short_structured_persisted,110.32,110.51,0.19
CLOutput0430.txt,18,3,ExitShort,short_dead_signal_exit deg=5,110.51,111.03,0.52
CLOutput0430.txt,19,3,EnterShort,enter_short_structured_persisted,110.71,111.04,0.33
CLOutput0430.txt,18,5,ExitShort,short_dead_signal_exit deg=5,110.51,111.15,0.64
CLOutput0430.txt,13,10,EnterShort,enter_short_structured_persisted,110.32,111.15,0.83
CLOutput0430.txt,19,5,EnterShort,enter_short_structured_persisted,110.71,109.95,-0.76
CLOutput0430.txt,25,3,ExitShort,short_dead_signal_exit deg=6,109.85,109.23,-0.62
CLOutput0430.txt,18,10,ExitShort,short_dead_signal_exit deg=5,110.51,109.23,-1.28
CLOutput0430.txt,19,10,EnterShort,enter_short_structured_persisted,110.71,109.28,-1.43
CLOutput0430.txt,25,5,ExitShort,short_dead_signal_exit deg=6,109.85,109.38,-0.47
CLOutput0430.txt,25,10,ExitShort,short_dead_signal_exit deg=6,109.85,109.04,-0.81
CLOutput0430.txt,57,3,EnterShort,enter_short_structured_persisted,108.18,108.48,0.3
CLOutput0430.txt,57,5,EnterShort,enter_short_structured_persisted,108.18,108.45,0.27
CLOutput0430.txt,62,3,ExitShort,short_dead_signal_exit deg=5,108.45,108.52,0.07
CLOutput0430.txt,62,5,ExitShort,short_dead_signal_exit deg=5,108.45,108.68,0.23
CLOutput0430.txt,57,10,EnterShort,enter_short_structured_persisted,108.18,108.68,0.5
CLOutput0430.txt,62,10,ExitShort,short_dead_signal_exit deg=5,108.45,107.77,-0.68
CLOutput0430.txt,118,3,EnterShort,enter_short_structured_persisted,106.28,106.38,0.1
CLOutput0430.txt,118,5,EnterShort,enter_short_structured_persisted,106.28,106.79,0.51
CLOutput0430.txt,124,3,ExitShort,short_dead_signal_exit deg=5,106.35,106.46,0.11
CLOutput0430.txt,125,3,EnterShort,enter_short_structured_persisted,106.58,106.54,-0.04
CLOutput0430.txt,118,10,EnterShort,enter_short_structured_persisted,106.28,106.54,0.26
CLOutput0430.txt,124,5,ExitShort,short_dead_signal_exit deg=5,106.35,106.38,0.03
CLOutput0430.txt,125,5,EnterShort,enter_short_structured_persisted,106.58,106.47,-0.11
CLOutput0430.txt,130,3,ExitShort,short_dead_signal_exit deg=5,106.47,106.37,-0.1
CLOutput0430.txt,124,10,ExitShort,short_dead_signal_exit deg=5,106.35,106.17,-0.18
CLOutput0430.txt,130,5,ExitShort,short_dead_signal_exit deg=5,106.47,106.23,-0.24
CLOutput0430.txt,125,10,EnterShort,enter_short_structured_persisted,106.58,106.23,-0.35
CLOutput0430.txt,130,10,ExitShort,short_dead_signal_exit deg=5,106.47,106.8,0.33
CLOutput0430.txt,150,3,EnterShort,enter_short_structured_persisted,107.12,106.95,-0.17
CLOutput0430.txt,150,5,EnterShort,enter_short_structured_persisted,107.12,106.78,-0.34
CLOutput0430.txt,150,10,EnterShort,enter_short_structured_persisted,107.12,107.23,0.11
CLOutput0430.txt,161,3,ExitShort,short_dead_signal_exit deg=5,106.99,107.17,0.18
CLOutput0430.txt,162,3,EnterShort,enter_short_structured_persisted,106.69,107.08,0.39
CLOutput0430.txt,161,5,ExitShort,short_dead_signal_exit deg=5,106.99,107.05,0.06
CLOutput0430.txt,162,5,EnterShort,enter_short_structured_persisted,106.69,106.96,0.27
CLOutput0430.txt,167,3,ExitShort,short_dead_signal_exit deg=5,106.96,107.75,0.79
CLOutput0430.txt,161,10,ExitShort,short_dead_signal_exit deg=5,106.99,107.4,0.41
CLOutput0430.txt,167,5,ExitShort,short_dead_signal_exit deg=5,106.96,107.58,0.62
CLOutput0430.txt,162,10,EnterShort,enter_short_structured_persisted,106.69,107.58,0.89
CLOutput0430.txt,167,10,ExitShort,short_dead_signal_exit deg=5,106.96,107.33,0.37
CLOutput0430.txt,218,3,EnterShort,enter_short_structured_persisted,108.21,108.74,0.53
CLOutput0430.txt,218,5,EnterShort,enter_short_structured_persisted,108.21,108.57,0.36
CLOutput0430.txt,223,3,ExitShort,short_dead_signal_exit deg=5,108.57,108.83,0.26
CLOutput0430.txt,224,3,EnterShort,enter_short_structured_persisted,108.25,109.09,0.84
CLOutput0430.txt,223,5,ExitShort,short_dead_signal_exit deg=5,108.57,109.58,1.01
CLOutput0430.txt,218,10,EnterShort,enter_short_structured_persisted,108.21,109.58,1.37
CLOutput0430.txt,224,5,EnterShort,enter_short_structured_persisted,108.25,109.8,1.55
CLOutput0430.txt,228,3,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.69 deg=5,109.58,110.51,0.93
CLOutput0430.txt,228,5,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.69 deg=5,109.58,109.76,0.18
CLOutput0430.txt,223,10,ExitShort,short_dead_signal_exit deg=5,108.57,109.76,1.19
CLOutput0430.txt,224,10,EnterShort,enter_short_structured_persisted,108.25,110.04,1.79
CLOutput0430.txt,235,3,ExitLong,long_ftt_failure_exit CNT id=13 dir=Up state=FttDetected P1=224@108.12 P2=232@110.84 P3=233@109.71 FTT=235@110.61 domLeg=224-232 pb=233-233 post=234-234 postP3Len=1 imbP2=0.63 imbP3=0.46,110.58,110.79,0.21
CLOutput0430.txt,228,10,ReverseToLong,reverse_to_long_valid phase=LongValid score=0.69 deg=5,109.58,110.79,1.21
CLOutput0430.txt,235,5,ExitLong,long_ftt_failure_exit CNT id=13 dir=Up state=FttDetected P1=224@108.12 P2=232@110.84 P3=233@109.71 FTT=235@110.61 domLeg=224-232 pb=233-233 post=234-234 postP3Len=1 imbP2=0.63 imbP3=0.46,110.58,110.66,0.08
CLOutput0430.txt,235,10,ExitLong,long_ftt_failure_exit CNT id=13 dir=Up state=FttDetected P1=224@108.12 P2=232@110.84 P3=233@109.71 FTT=235@110.61 domLeg=224-232 pb=233-233 post=234-234 postP3Len=1 imbP2=0.63 imbP3=0.46,110.58,109.09,-1.49
CLOutput0430.txt,270,3,EnterLong,enter_long_valid,109.79,109.56,-0.23
CLOutput0430.txt,270,5,EnterLong,enter_long_valid,109.79,109.45,-0.34
CLOutput0430.txt,270,10,EnterLong,enter_long_valid,109.79,109.96,0.17
CLOutput0430.txt,290,3,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,110.23,110.37,0.14
CLOutput0430.txt,290,5,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,110.23,110.46,0.23
CLOutput0430.txt,290,10,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,110.23,110.33,0.1
CLOutput0430.txt,339,3,EnterLong,enter_long_valid,112.44,112.19,-0.25
CLOutput0430.txt,339,5,EnterLong,enter_long_valid,112.44,112.28,-0.16
CLOutput0430.txt,346,3,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.35,113.06,0.71
CLOutput0430.txt,339,10,EnterLong,enter_long_valid,112.44,113.06,0.62
CLOutput0430.txt,348,3,EnterLong,enter_long_valid,112.84,113.25,0.41
CLOutput0430.txt,346,5,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.35,113.25,0.9
CLOutput0430.txt,348,5,EnterLong,enter_long_valid,112.84,112.91,0.07
CLOutput0430.txt,346,10,ExitLong,long_decay_exit phase=None score=0.00 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.35,112.42,0.07
CLOutput0430.txt,348,10,EnterLong,enter_long_valid,112.84,112.02,-0.82
CLOutput0430.txt,357,3,ExitLong,long_decay_exit phase=ShortCandidate score=0.34 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.14,112.22,0.08
CLOutput0430.txt,357,5,ExitLong,long_decay_exit phase=ShortCandidate score=0.34 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.14,112.06,-0.08
CLOutput0430.txt,357,10,ExitLong,long_decay_exit phase=ShortCandidate score=0.34 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,112.14,112.38,0.24
CLOutput0430.txt,416,3,EnterShort,enter_short_structured_persisted,108.56,109.39,0.83
CLOutput0430.txt,416,5,EnterShort,enter_short_structured_persisted,108.56,109.05,0.49
CLOutput0430.txt,421,3,ExitShort,short_dead_signal_exit deg=5,109.05,109.74,0.69
