Instrument,SessionContext,TotalBars,Bucket,FromState,Transition,ProbabilityPct
ES,ETH,50,3-5,Unknown,Unknown->Unresolved,100.00
ES,ETH,50,3-5,Unresolved,Unresolved->Unknown,100.00
ES,ETH,50,21+,Unresolved,Unresolved->Directional,100.00
ES,ETH,50,1-2,Directional,Directional->Degrading,100.00
ES,ETH,100,3-5,Unknown,Unknown->Unresolved,100.00
ES,ETH,100,3-5,Unresolved,Unresolved->Unknown,100.00
ES,ETH,100,21+,Unresolved,Unresolved->Directional,100.00
ES,ETH,100,1-2,Directional,Directional->Degrading,100.00
ES,ETH,100,1-2,Degrading,Degrading->Unresolved,75.00
ES,ETH,100,11-20,Unresolved,Unresolved->Directional,100.00
ES,ETH,100,6-10,Directional,Directional->Degrading,100.00
ES,ETH,100,1-2,Degrading,Degrading->Balance,25.00
ES,ETH,100,1-2,Balance,Balance->Degrading,50.00
ES,ETH,100,6-10,Unresolved,Unresolved->Directional,100.00
ES,ETH,100,1-2,Unresolved,Unresolved->Balance,100.00
ES,ETH,100,1-2,Balance,Balance->Unresolved,50.00
ES,ETH,150,3-5,Unknown,Unknown->Unresolved,100.00
ES,ETH,150,3-5,Unresolved,Unresolved->Unknown,50.00
ES,ETH,150,21+,Unresolved,Unresolved->Directional,100.00
ES,ETH,150,1-2,Directional,Directional->Degrading,100.00
ES,ETH,150,1-2,Degrading,Degrading->Unresolved,75.00
ES,ETH,150,11-20,Unresolved,Unresolved->Directional,100.00
ES,ETH,150,6-10,Directional,Directional->Degrading,100.00
ES,ETH,150,1-2,Degrading,Degrading->Balance,12.50
ES,ETH,150,1-2,Balance,Balance->Degrading,20.00
ES,ETH,150,6-10,Unresolved,Unresolved->Directional,50.00
ES,ETH,150,1-2,Unresolved,Unresolved->Balance,60.00
ES,ETH,150,1-2,Balance,Balance->Unresolved,80.00
ES,ETH,150,6-10,Unresolved,Unresolved->Degrading,25.00
ES,ETH,150,1-2,Degrading,Degrading->Directional,12.50
ES,ETH,150,1-2,Unresolved,Unresolved->Degrading,20.00
ES,ETH,150,6-10,Unresolved,Unresolved->Balance,25.00
ES,ETH,150,1-2,Unresolved,Unresolved->Directional,20.00
ES,ETH,150,6-10,Degrading,Degrading->Unresolved,100.00
ES,ETH,150,3-5,Unresolved,Unresolved->Balance,50.00
ES,ETH,200,3-5,Unknown,Unknown->Unresolved,100.00
ES,ETH,200,3-5,Unresolved,Unresolved->Unknown,20.00
ES,ETH,200,21+,Unresolved,Unresolved->Directional,100.00
ES,ETH,200,1-2,Directional,Directional->Degrading,100.00
ES,ETH,200,1-2,Degrading,Degrading->Unresolved,81.82
ES,ETH,200,11-20,Unresolved,Unresolved->Directional,50.00
ES,ETH,200,6-10,Directional,Directional->Degrading,100.00
ES,ETH,200,1-2,Degrading,Degrading->Balance,9.09
ES,ETH,200,1-2,Balance,Balance->Degrading,10.00
ES,ETH,200,6-10,Unresolved,Unresolved->Directional,50.00
ES,ETH,200,1-2,Unresolved,Unresolved->Balance,44.44
ES,ETH,200,1-2,Balance,Balance->Unresolved,90.00
ES,ETH,200,6-10,Unresolved,Unresolved->Degrading,25.00
ES,ETH,200,1-2,Degrading,Degrading->Directional,9.09
ES,ETH,200,1-2,Unresolved,Unresolved->Degrading,44.44
ES,ETH,200,6-10,Unresolved,Unresolved->Balance,25.00
ES,ETH,200,1-2,Unresolved,Unresolved->Directional,11.11
ES,ETH,200,6-10,Degrading,Degrading->Unresolved,100.00
ES,ETH,200,3-5,Unresolved,Unresolved->Balance,60.00
ES,ETH,200,3-5,Unresolved,Unresolved->Degrading,20.00
ES,ETH,200,11-20,Unresolved,Unresolved->Balance,50.00
ES,ETH,250,3-5,Unknown,Unknown->Unresolved,100.00
ES,ETH,250,3-5,Unresolved,Unresolved->Unknown,20.00
ES,ETH,250,21+,Unresolved,Unresolved->Directional,100.00
ES,ETH,250,1-2,Directional,Directional->Degrading,100.00
ES,ETH,250,1-2,Degrading,Degrading->Unresolved,81.82
ES,ETH,250,11-20,Unresolved,Unresolved->Directional,50.00
ES,ETH,250,6-10,Directional,Directional->Degrading,100.00
ES,ETH,250,1-2,Degrading,Degrading->Balance,9.09
ES,ETH,250,1-2,Balance,Balance->Degrading,9.09
ES,ETH,250,6-10,Unresolved,Unresolved->Directional,50.00
ES,ETH,250,1-2,Unresolved,Unresolved->Balance,50.00
ES,ETH,250,1-2,Balance,Balance->Unresolved,90.91
ES,ETH,250,6-10,Unresolved,Unresolved->Degrading,25.00
