Instrument,SessionContext,TotalBars,Bucket,Transition,Count
ES,RTH,50,3-5,Unknown->Unresolved,2
ES,RTH,50,3-5,Unresolved->Unknown,1
ES,RTH,50,21+,Unresolved->Directional,1
ES,RTH,50,1-2,Directional->Degrading,1
ES,RTH,100,3-5,Unknown->Unresolved,2
ES,RTH,100,3-5,Unresolved->Unknown,1
ES,RTH,100,21+,Unresolved->Directional,1
ES,RTH,100,1-2,Directional->Degrading,2
ES,RTH,100,1-2,Degrading->Unresolved,3
ES,RTH,100,11-20,Unresolved->Directional,1
ES,RTH,100,6-10,Directional->Degrading,1
ES,RTH,100,1-2,Degrading->Balance,1
ES,RTH,100,1-2,Balance->Degrading,1
ES,RTH,100,6-10,Unresolved->Directional,1
ES,RTH,100,1-2,Unresolved->Balance,1
ES,RTH,100,1-2,Balance->Unresolved,1
ES,RTH,150,3-5,Unknown->Unresolved,2
ES,RTH,150,3-5,Unresolved->Unknown,1
ES,RTH,150,21+,Unresolved->Directional,1
ES,RTH,150,1-2,Directional->Degrading,4
ES,RTH,150,1-2,Degrading->Unresolved,6
ES,RTH,150,11-20,Unresolved->Directional,1
ES,RTH,150,6-10,Directional->Degrading,2
ES,RTH,150,1-2,Degrading->Balance,1
ES,RTH,150,1-2,Balance->Degrading,1
ES,RTH,150,6-10,Unresolved->Directional,2
ES,RTH,150,1-2,Unresolved->Balance,3
ES,RTH,150,1-2,Balance->Unresolved,4
ES,RTH,150,6-10,Unresolved->Degrading,1
ES,RTH,150,1-2,Degrading->Directional,1
ES,RTH,150,1-2,Unresolved->Degrading,1
ES,RTH,150,6-10,Unresolved->Balance,1
ES,RTH,150,1-2,Unresolved->Directional,1
ES,RTH,150,6-10,Degrading->Unresolved,1
ES,RTH,150,3-5,Unresolved->Balance,1
ES,RTH,200,3-5,Unknown->Unresolved,2
ES,RTH,200,3-5,Unresolved->Unknown,1
ES,RTH,200,21+,Unresolved->Directional,1
ES,RTH,200,1-2,Directional->Degrading,4
ES,RTH,200,1-2,Degrading->Unresolved,9
ES,RTH,200,11-20,Unresolved->Directional,1
ES,RTH,200,6-10,Directional->Degrading,2
ES,RTH,200,1-2,Degrading->Balance,1
ES,RTH,200,1-2,Balance->Degrading,1
ES,RTH,200,6-10,Unresolved->Directional,2
ES,RTH,200,1-2,Unresolved->Balance,4
ES,RTH,200,1-2,Balance->Unresolved,9
ES,RTH,200,6-10,Unresolved->Degrading,1
ES,RTH,200,1-2,Degrading->Directional,1
ES,RTH,200,1-2,Unresolved->Degrading,4
ES,RTH,200,6-10,Unresolved->Balance,1
ES,RTH,200,1-2,Unresolved->Directional,1
ES,RTH,200,6-10,Degrading->Unresolved,2
ES,RTH,200,3-5,Unresolved->Balance,3
ES,RTH,200,3-5,Unresolved->Degrading,1
ES,RTH,200,11-20,Unresolved->Balance,1
ES,RTH,250,3-5,Unknown->Unresolved,2
ES,RTH,250,3-5,Unresolved->Unknown,1
ES,RTH,250,21+,Unresolved->Directional,1
ES,RTH,250,1-2,Directional->Degrading,4
ES,RTH,250,1-2,Degrading->Unresolved,9
ES,RTH,250,11-20,Unresolved->Directional,1
ES,RTH,250,6-10,Directional->Degrading,2
ES,RTH,250,1-2,Degrading->Balance,1
ES,RTH,250,1-2,Balance->Degrading,1
ES,RTH,250,6-10,Unresolved->Directional,2
ES,RTH,250,1-2,Unresolved->Balance,5
ES,RTH,250,1-2,Balance->Unresolved,10
ES,RTH,250,6-10,Unresolved->Degrading,1
ES,RTH,250,1-2,Degrading->Directional,1
ES,RTH,250,1-2,Unresolved->Degrading,4
ES,RTH,250,6-10,Unresolved->Balance,1
ES,RTH,250,1-2,Unresolved->Directional,1
ES,RTH,250,6-10,Degrading->Unresolved,2
ES,RTH,250,3-5,Unresolved->Balance,3
ES,RTH,250,3-5,Unresolved->Degrading,1
ES,RTH,250,11-20,Unresolved->Balance,1
ES,RTH,300,3-5,Unknown->Unresolved,2
ES,RTH,300,3-5,Unresolved->Unknown,1
ES,RTH,300,21+,Unresolved->Directional,1
ES,RTH,300,1-2,Directional->Degrading,4
ES,RTH,300,1-2,Degrading->Unresolved,12
ES,RTH,300,11-20,Unresolved->Directional,1
ES,RTH,300,6-10,Directional->Degrading,2
ES,RTH,300,1-2,Degrading->Balance,2
ES,RTH,300,1-2,Balance->Degrading,2
ES,RTH,300,6-10,Unresolved->Directional,2
ES,RTH,300,1-2,Unresolved->Balance,6
ES,RTH,300,1-2,Balance->Unresolved,13
ES,RTH,300,6-10,Unresolved->Degrading,1
ES,RTH,300,1-2,Degrading->Directional,1
ES,RTH,300,1-2,Unresolved->Degrading,6
ES,RTH,300,6-10,Unresolved->Balance,2
ES,RTH,300,1-2,Unresolved->Directional,1
ES,RTH,300,6-10,Degrading->Unresolved,2
ES,RTH,300,3-5,Unresolved->Balance,4
ES,RTH,300,3-5,Unresolved->Degrading,1
ES,RTH,300,11-20,Unresolved->Balance,1
ES,RTH,300,21+,Unresolved->Degrading,1
ES,RTH,300,3-5,Degrading->Balance,1
ES,RTH,300,3-5,Balance->Degrading,1
ES,RTH,350,3-5,Unknown->Unresolved,2
ES,RTH,350,3-5,Unresolved->Unknown,1
ES,RTH,350,21+,Unresolved->Directional,2
ES,RTH,350,1-2,Directional->Degrading,7
ES,RTH,350,1-2,Degrading->Unresolved,12
ES,RTH,350,11-20,Unresolved->Directional,1
ES,RTH,350,6-10,Directional->Degrading,2
ES,RTH,350,1-2,Degrading->Balance,3
ES,RTH,350,1-2,Balance->Degrading,2
ES,RTH,350,6-10,Unresolved->Directional,3
ES,RTH,350,1-2,Unresolved->Balance,7
ES,RTH,350,1-2,Balance->Unresolved,15
ES,RTH,350,6-10,Unresolved->Degrading,1
ES,RTH,350,1-2,Degrading->Directional,2
ES,RTH,350,1-2,Unresolved->Degrading,6
ES,RTH,350,6-10,Unresolved->Balance,3
ES,RTH,350,1-2,Unresolved->Directional,2
ES,RTH,350,6-10,Degrading->Unresolved,3
ES,RTH,350,3-5,Unresolved->Balance,4
ES,RTH,350,3-5,Unresolved->Degrading,1
ES,RTH,350,11-20,Unresolved->Balance,1
ES,RTH,350,21+,Unresolved->Degrading,1
ES,RTH,350,3-5,Degrading->Balance,1
ES,RTH,350,3-5,Balance->Degrading,1
ES,RTH,350,3-5,Directional->Unresolved,1
ES,RTH,350,3-5,Degrading->Directional,1
ES,RTH,350,3-5,Directional->Degrading,1
ES,RTH,400,3-5,Unknown->Unresolved,2
ES,RTH,400,3-5,Unresolved->Unknown,1
ES,RTH,400,21+,Unresolved->Directional,2
ES,RTH,400,1-2,Directional->Degrading,7
ES,RTH,400,1-2,Degrading->Unresolved,14
ES,RTH,400,11-20,Unresolved->Directional,1
ES,RTH,400,6-10,Directional->Degrading,2
ES,RTH,400,1-2,Degrading->Balance,4
ES,RTH,400,1-2,Balance->Degrading,3
ES,RTH,400,6-10,Unresolved->Directional,3
ES,RTH,400,1-2,Unresolved->Balance,9
ES,RTH,400,1-2,Balance->Unresolved,19
ES,RTH,400,6-10,Unresolved->Degrading,1
ES,RTH,400,1-2,Degrading->Directional,2
ES,RTH,400,1-2,Unresolved->Degrading,6
ES,RTH,400,6-10,Unresolved->Balance,3
ES,RTH,400,1-2,Unresolved->Directional,2
ES,RTH,400,6-10,Degrading->Unresolved,3
ES,RTH,400,3-5,Unresolved->Balance,5
ES,RTH,400,3-5,Unresolved->Degrading,3
ES,RTH,400,11-20,Unresolved->Balance,2
ES,RTH,400,21+,Unresolved->Degrading,1
ES,RTH,400,3-5,Degrading->Balance,1
ES,RTH,400,3-5,Balance->Degrading,1
ES,RTH,400,3-5,Directional->Unresolved,1
ES,RTH,400,3-5,Degrading->Directional,1
ES,RTH,400,3-5,Directional->Degrading,1
ES,RTH,400,3-5,Balance->Unresolved,1
