Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MaxPriorRunLength
ES,ETH,50,Unknown->Unresolved,1,5.00,5
ES,ETH,50,Unresolved->Directional,2,5.00,9
ES,ETH,50,Directional->Unresolved,1,7.00,7
ES,ETH,50,Unresolved->Degrading,1,1.00,1
ES,ETH,50,Degrading->Unresolved,2,1.50,2
ES,ETH,50,Directional->Degrading,1,1.00,1
ES,ETH,50,Unresolved->Balance,4,2.75,5
ES,ETH,50,Balance->Unresolved,4,1.50,3
ES,ETH,100,Unknown->Unresolved,1,5.00,5
ES,ETH,100,Unresolved->Directional,3,21.33,54
ES,ETH,100,Directional->Unresolved,1,7.00,7
ES,ETH,100,Unresolved->Degrading,1,1.00,1
ES,ETH,100,Degrading->Unresolved,2,1.50,2
ES,ETH,100,Directional->Degrading,2,1.00,1
ES,ETH,100,Unresolved->Balance,4,2.75,5
ES,ETH,100,Balance->Unresolved,4,1.50,3
ES,ETH,150,Unknown->Unresolved,1,5.00,5
ES,ETH,150,Unresolved->Directional,4,20.75,54
ES,ETH,150,Directional->Unresolved,1,7.00,7
ES,ETH,150,Unresolved->Degrading,2,1.00,1
ES,ETH,150,Degrading->Unresolved,5,2.00,5
ES,ETH,150,Directional->Degrading,7,2.00,4
ES,ETH,150,Unresolved->Balance,4,2.75,5
ES,ETH,150,Balance->Unresolved,4,1.50,3
ES,ETH,150,Degrading->Directional,4,2.00,3
ES,ETH,200,Unknown->Unresolved,1,5.00,5
ES,ETH,200,Unresolved->Directional,5,22.60,54
ES,ETH,200,Directional->Unresolved,1,7.00,7
ES,ETH,200,Unresolved->Degrading,4,2.25,6
ES,ETH,200,Degrading->Unresolved,8,1.63,5
ES,ETH,200,Directional->Degrading,8,2.00,4
ES,ETH,200,Unresolved->Balance,5,3.20,5
ES,ETH,200,Balance->Unresolved,5,1.40,3
ES,ETH,200,Degrading->Directional,4,2.00,3
ES,ETH,250,Unknown->Unresolved,1,5.00,5
ES,ETH,250,Unresolved->Directional,5,22.60,54
ES,ETH,250,Directional->Unresolved,1,7.00,7
ES,ETH,250,Unresolved->Degrading,5,9.60,39
ES,ETH,250,Degrading->Unresolved,9,1.67,5
ES,ETH,250,Directional->Degrading,8,2.00,4
ES,ETH,250,Unresolved->Balance,5,3.20,5
ES,ETH,250,Balance->Unresolved,5,1.40,3
