Instrument,SessionContext,TotalBars,Bucket,Transition,Count,ProbabilityPct
ES,RTH,50,0.40-0.60,Unknown->Unresolved,2,50.00
ES,RTH,50,0.60-0.80,Unresolved->Unknown,1,100.00
ES,RTH,50,0.40-0.60,Unresolved->Directional,1,25.00
ES,RTH,50,0.40-0.60,Directional->Degrading,1,25.00
ES,RTH,100,0.40-0.60,Unknown->Unresolved,2,33.33
ES,RTH,100,0.60-0.80,Unresolved->Unknown,1,25.00
ES,RTH,100,0.40-0.60,Unresolved->Directional,1,16.67
ES,RTH,100,0.40-0.60,Directional->Degrading,1,16.67
ES,RTH,100,0.20-0.40,Degrading->Unresolved,1,25.00
ES,RTH,100,0.20-0.40,Unresolved->Directional,2,50.00
ES,RTH,100,0.60-0.80,Directional->Degrading,2,50.00
ES,RTH,100,0.40-0.60,Degrading->Balance,1,16.67
ES,RTH,100,0.20-0.40,Balance->Degrading,1,25.00
ES,RTH,100,0.40-0.60,Degrading->Unresolved,1,16.67
ES,RTH,100,0.60-0.80,Degrading->Unresolved,1,25.00
ES,RTH,100,0.00-0.20,Unresolved->Balance,1,50.00
ES,RTH,100,0.00-0.20,Balance->Unresolved,1,50.00
ES,RTH,150,0.40-0.60,Unknown->Unresolved,2,28.57
ES,RTH,150,0.60-0.80,Unresolved->Unknown,1,16.67
ES,RTH,150,0.40-0.60,Unresolved->Directional,1,14.29
ES,RTH,150,0.40-0.60,Directional->Degrading,1,14.29
ES,RTH,150,0.20-0.40,Degrading->Unresolved,3,30.00
ES,RTH,150,0.20-0.40,Unresolved->Directional,2,20.00
ES,RTH,150,0.60-0.80,Directional->Degrading,4,66.67
ES,RTH,150,0.40-0.60,Degrading->Balance,1,14.29
ES,RTH,150,0.20-0.40,Balance->Degrading,1,10.00
ES,RTH,150,0.40-0.60,Degrading->Unresolved,2,28.57
ES,RTH,150,0.60-0.80,Degrading->Unresolved,1,16.67
ES,RTH,150,0.00-0.20,Unresolved->Balance,4,40.00
ES,RTH,150,0.00-0.20,Balance->Unresolved,4,40.00
ES,RTH,150,0.20-0.40,Unresolved->Degrading,2,20.00
ES,RTH,150,0.20-0.40,Degrading->Directional,1,10.00
ES,RTH,150,0.00-0.20,Degrading->Unresolved,1,10.00
ES,RTH,150,0.00-0.20,Unresolved->Directional,1,10.00
ES,RTH,150,0.80-1.00,Unresolved->Directional,1,50.00
ES,RTH,150,0.80-1.00,Directional->Degrading,1,50.00
ES,RTH,150,0.20-0.40,Unresolved->Balance,1,10.00
ES,RTH,200,0.40-0.60,Unknown->Unresolved,2,22.22
ES,RTH,200,0.60-0.80,Unresolved->Unknown,1,16.67
ES,RTH,200,0.40-0.60,Unresolved->Directional,1,11.11
ES,RTH,200,0.40-0.60,Directional->Degrading,1,11.11
ES,RTH,200,0.20-0.40,Degrading->Unresolved,4,28.57
ES,RTH,200,0.20-0.40,Unresolved->Directional,2,14.29
ES,RTH,200,0.60-0.80,Directional->Degrading,4,66.67
ES,RTH,200,0.40-0.60,Degrading->Balance,1,11.11
ES,RTH,200,0.20-0.40,Balance->Degrading,1,7.14
ES,RTH,200,0.40-0.60,Degrading->Unresolved,4,44.44
ES,RTH,200,0.60-0.80,Degrading->Unresolved,1,16.67
ES,RTH,200,0.00-0.20,Unresolved->Balance,8,38.10
ES,RTH,200,0.00-0.20,Balance->Unresolved,8,38.10
ES,RTH,200,0.20-0.40,Unresolved->Degrading,4,28.57
ES,RTH,200,0.20-0.40,Degrading->Directional,1,7.14
ES,RTH,200,0.00-0.20,Degrading->Unresolved,2,9.52
ES,RTH,200,0.00-0.20,Unresolved->Directional,1,4.76
ES,RTH,200,0.80-1.00,Unresolved->Directional,1,50.00
ES,RTH,200,0.80-1.00,Directional->Degrading,1,50.00
ES,RTH,200,0.20-0.40,Unresolved->Balance,1,7.14
ES,RTH,200,0.20-0.40,Balance->Unresolved,1,7.14
ES,RTH,200,0.00-0.20,Unresolved->Degrading,2,9.52
ES,RTH,250,0.40-0.60,Unknown->Unresolved,2,22.22
ES,RTH,250,0.60-0.80,Unresolved->Unknown,1,16.67
ES,RTH,250,0.40-0.60,Unresolved->Directional,1,11.11
ES,RTH,250,0.40-0.60,Directional->Degrading,1,11.11
ES,RTH,250,0.20-0.40,Degrading->Unresolved,4,26.67
ES,RTH,250,0.20-0.40,Unresolved->Directional,2,13.33
ES,RTH,250,0.60-0.80,Directional->Degrading,4,66.67
ES,RTH,250,0.40-0.60,Degrading->Balance,1,11.11
ES,RTH,250,0.20-0.40,Balance->Degrading,1,6.67
ES,RTH,250,0.40-0.60,Degrading->Unresolved,4,44.44
ES,RTH,250,0.60-0.80,Degrading->Unresolved,1,16.67
ES,RTH,250,0.00-0.20,Unresolved->Balance,9,40.91
ES,RTH,250,0.00-0.20,Balance->Unresolved,8,36.36
ES,RTH,250,0.20-0.40,Unresolved->Degrading,4,26.67
ES,RTH,250,0.20-0.40,Degrading->Directional,1,6.67
ES,RTH,250,0.00-0.20,Degrading->Unresolved,2,9.09
ES,RTH,250,0.00-0.20,Unresolved->Directional,1,4.55
ES,RTH,250,0.80-1.00,Unresolved->Directional,1,50.00
ES,RTH,250,0.80-1.00,Directional->Degrading,1,50.00
ES,RTH,250,0.20-0.40,Unresolved->Balance,1,6.67
ES,RTH,250,0.20-0.40,Balance->Unresolved,2,13.33
ES,RTH,250,0.00-0.20,Unresolved->Degrading,2,9.09
ES,RTH,300,0.40-0.60,Unknown->Unresolved,2,15.38
ES,RTH,300,0.60-0.80,Unresolved->Unknown,1,16.67
ES,RTH,300,0.40-0.60,Unresolved->Directional,1,7.69
ES,RTH,300,0.40-0.60,Directional->Degrading,1,7.69
ES,RTH,300,0.20-0.40,Degrading->Unresolved,4,18.18
ES,RTH,300,0.20-0.40,Unresolved->Directional,2,9.09
ES,RTH,300,0.60-0.80,Directional->Degrading,4,66.67
ES,RTH,300,0.40-0.60,Degrading->Balance,2,15.38
ES,RTH,300,0.20-0.40,Balance->Degrading,3,13.64
ES,RTH,300,0.40-0.60,Degrading->Unresolved,7,53.85
ES,RTH,300,0.60-0.80,Degrading->Unresolved,1,16.67
ES,RTH,300,0.00-0.20,Unresolved->Balance,11,40.74
ES,RTH,300,0.00-0.20,Balance->Unresolved,10,37.04
ES,RTH,300,0.20-0.40,Unresolved->Degrading,6,27.27
ES,RTH,300,0.20-0.40,Degrading->Directional,1,4.55
ES,RTH,300,0.00-0.20,Degrading->Unresolved,2,7.41
ES,RTH,300,0.00-0.20,Unresolved->Directional,1,3.70
ES,RTH,300,0.80-1.00,Unresolved->Directional,1,50.00
ES,RTH,300,0.80-1.00,Directional->Degrading,1,50.00
ES,RTH,300,0.20-0.40,Unresolved->Balance,2,9.09
ES,RTH,300,0.20-0.40,Balance->Unresolved,3,13.64
ES,RTH,300,0.00-0.20,Unresolved->Degrading,3,11.11
ES,RTH,300,0.20-0.40,Degrading->Balance,1,4.55
ES,RTH,350,0.40-0.60,Unknown->Unresolved,2,11.76
ES,RTH,350,0.60-0.80,Unresolved->Unknown,1,12.50
ES,RTH,350,0.40-0.60,Unresolved->Directional,2,11.76
ES,RTH,350,0.40-0.60,Directional->Degrading,2,11.76
ES,RTH,350,0.20-0.40,Degrading->Unresolved,4,17.39
ES,RTH,350,0.20-0.40,Unresolved->Directional,3,13.04
ES,RTH,350,0.60-0.80,Directional->Degrading,5,62.50
ES,RTH,350,0.40-0.60,Degrading->Balance,2,11.76
ES,RTH,350,0.20-0.40,Balance->Degrading,3,13.04
ES,RTH,350,0.40-0.60,Degrading->Unresolved,8,47.06
ES,RTH,350,0.60-0.80,Degrading->Unresolved,1,12.50
ES,RTH,350,0.00-0.20,Unresolved->Balance,13,39.39
ES,RTH,350,0.00-0.20,Balance->Unresolved,12,36.36
ES,RTH,350,0.20-0.40,Unresolved->Degrading,6,26.09
ES,RTH,350,0.20-0.40,Degrading->Directional,1,4.35
ES,RTH,350,0.00-0.20,Degrading->Unresolved,2,6.06
ES,RTH,350,0.00-0.20,Unresolved->Directional,2,6.06
ES,RTH,350,0.80-1.00,Unresolved->Directional,1,20.00
ES,RTH,350,0.80-1.00,Directional->Degrading,3,60.00
ES,RTH,350,0.20-0.40,Unresolved->Balance,2,8.70
ES,RTH,350,0.20-0.40,Balance->Unresolved,3,13.04
ES,RTH,350,0.00-0.20,Unresolved->Degrading,3,9.09
ES,RTH,350,0.20-0.40,Degrading->Balance,1,4.35
ES,RTH,350,0.40-0.60,Directional->Unresolved,1,5.88
ES,RTH,350,0.60-0.80,Degrading->Directional,1,12.50
ES,RTH,350,0.80-1.00,Degrading->Directional,1,20.00
ES,RTH,350,0.00-0.20,Degrading->Balance,1,3.03
ES,RTH,400,0.40-0.60,Unknown->Unresolved,2,10.00
ES,RTH,400,0.60-0.80,Unresolved->Unknown,1,11.11
ES,RTH,400,0.40-0.60,Unresolved->Directional,2,10.00
ES,RTH,400,0.40-0.60,Directional->Degrading,2,10.00
ES,RTH,400,0.20-0.40,Degrading->Unresolved,4,15.38
ES,RTH,400,0.20-0.40,Unresolved->Directional,3,11.54
ES,RTH,400,0.60-0.80,Directional->Degrading,5,55.56
ES,RTH,400,0.40-0.60,Degrading->Balance,2,10.00
ES,RTH,400,0.20-0.40,Balance->Degrading,4,15.38
ES,RTH,400,0.40-0.60,Degrading->Unresolved,9,45.00
ES,RTH,400,0.60-0.80,Degrading->Unresolved,1,11.11
ES,RTH,400,0.00-0.20,Unresolved->Balance,16,39.02
ES,RTH,400,0.00-0.20,Balance->Unresolved,16,39.02
ES,RTH,400,0.20-0.40,Unresolved->Degrading,6,23.08
ES,RTH,400,0.20-0.40,Degrading->Directional,1,3.85
ES,RTH,400,0.00-0.20,Degrading->Unresolved,3,7.32
ES,RTH,400,0.00-0.20,Unresolved->Directional,2,4.88
ES,RTH,400,0.80-1.00,Unresolved->Directional,1,20.00
ES,RTH,400,0.80-1.00,Directional->Degrading,3,60.00
ES,RTH,400,0.20-0.40,Unresolved->Balance,3,11.54
ES,RTH,400,0.20-0.40,Balance->Unresolved,4,15.38
ES,RTH,400,0.00-0.20,Unresolved->Degrading,3,7.32
ES,RTH,400,0.20-0.40,Degrading->Balance,1,3.85
ES,RTH,400,0.40-0.60,Directional->Unresolved,1,5.00
ES,RTH,400,0.60-0.80,Degrading->Directional,1,11.11
ES,RTH,400,0.80-1.00,Degrading->Directional,1,20.00
ES,RTH,400,0.00-0.20,Degrading->Balance,1,2.44
ES,RTH,400,0.40-0.60,Unresolved->Degrading,2,10.00
ES,RTH,400,0.60-0.80,Degrading->Balance,1,11.11
