Instrument,SessionContext,TotalBars,Bucket,Transition,Count
ES,RTH,50,0.40-0.60,Unknown->Unresolved,2
ES,RTH,50,0.60-0.80,Unresolved->Unknown,1
ES,RTH,50,0.40-0.60,Unresolved->Directional,1
ES,RTH,50,0.40-0.60,Directional->Degrading,1
ES,RTH,100,0.40-0.60,Unknown->Unresolved,2
ES,RTH,100,0.60-0.80,Unresolved->Unknown,1
ES,RTH,100,0.40-0.60,Unresolved->Directional,1
ES,RTH,100,0.40-0.60,Directional->Degrading,1
ES,RTH,100,0.20-0.40,Degrading->Unresolved,1
ES,RTH,100,0.20-0.40,Unresolved->Directional,2
ES,RTH,100,0.60-0.80,Directional->Degrading,2
ES,RTH,100,0.40-0.60,Degrading->Balance,1
ES,RTH,100,0.20-0.40,Balance->Degrading,1
ES,RTH,100,0.40-0.60,Degrading->Unresolved,1
ES,RTH,100,0.60-0.80,Degrading->Unresolved,1
ES,RTH,100,0.00-0.20,Unresolved->Balance,1
ES,RTH,100,0.00-0.20,Balance->Unresolved,1
ES,RTH,150,0.40-0.60,Unknown->Unresolved,2
ES,RTH,150,0.60-0.80,Unresolved->Unknown,1
ES,RTH,150,0.40-0.60,Unresolved->Directional,1
ES,RTH,150,0.40-0.60,Directional->Degrading,1
ES,RTH,150,0.20-0.40,Degrading->Unresolved,3
ES,RTH,150,0.20-0.40,Unresolved->Directional,2
ES,RTH,150,0.60-0.80,Directional->Degrading,4
ES,RTH,150,0.40-0.60,Degrading->Balance,1
ES,RTH,150,0.20-0.40,Balance->Degrading,1
ES,RTH,150,0.40-0.60,Degrading->Unresolved,2
ES,RTH,150,0.60-0.80,Degrading->Unresolved,1
ES,RTH,150,0.00-0.20,Unresolved->Balance,4
ES,RTH,150,0.00-0.20,Balance->Unresolved,4
ES,RTH,150,0.20-0.40,Unresolved->Degrading,2
ES,RTH,150,0.20-0.40,Degrading->Directional,1
ES,RTH,150,0.00-0.20,Degrading->Unresolved,1
