Instrument,SessionContext,TotalBars,EntryPath,Occurrences,MeanPersistence
ES,RTH,50,Unknown->Unresolved,2,20.50
ES,RTH,50,Unresolved->Unknown,1,3.00
ES,RTH,50,Unresolved->Directional,1,2.00
ES,RTH,100,Unknown->Unresolved,2,20.50
ES,RTH,100,Unresolved->Unknown,1,3.00
ES,RTH,100,Unresolved->Directional,3,3.00
ES,RTH,100,Directional->Degrading,3,1.00
ES,RTH,100,Degrading->Unresolved,3,10.67
ES,RTH,100,Degrading->Balance,1,1.00
ES,RTH,100,Balance->Degrading,1,2.00
ES,RTH,100,Unresolved->Balance,1,1.00
ES,RTH,150,Unknown->Unresolved,2,20.50
ES,RTH,150,Unresolved->Unknown,1,3.00
ES,RTH,150,Unresolved->Directional,5,3.80
ES,RTH,150,Directional->Degrading,6,1.83
ES,RTH,150,Degrading->Unresolved,7,6.00
ES,RTH,150,Degrading->Balance,1,1.00
ES,RTH,150,Balance->Degrading,1,2.00
ES,RTH,150,Unresolved->Balance,4,1.00
ES,RTH,150,Balance->Unresolved,4,5.00
ES,RTH,150,Unresolved->Degrading,2,1.00
ES,RTH,150,Degrading->Directional,1,1.00
ES,RTH,200,Unknown->Unresolved,2,20.50
ES,RTH,200,Unresolved->Unknown,1,3.00
ES,RTH,200,Unresolved->Directional,5,3.80
ES,RTH,200,Directional->Degrading,6,1.83
ES,RTH,200,Degrading->Unresolved,11,6.00
ES,RTH,200,Degrading->Balance,1,1.00
ES,RTH,200,Balance->Degrading,1,2.00
ES,RTH,200,Unresolved->Balance,9,1.22
ES,RTH,200,Balance->Unresolved,8,3.63
ES,RTH,200,Unresolved->Degrading,6,2.00
ES,RTH,200,Degrading->Directional,1,1.00
ES,RTH,250,Unknown->Unresolved,2,20.50
ES,RTH,250,Unresolved->Unknown,1,3.00
ES,RTH,250,Unresolved->Directional,5,3.80
ES,RTH,250,Directional->Degrading,6,1.83
ES,RTH,250,Degrading->Unresolved,11,6.00
ES,RTH,250,Degrading->Balance,1,1.00
ES,RTH,250,Balance->Degrading,1,2.00
ES,RTH,250,Unresolved->Balance,10,1.30
ES,RTH,250,Balance->Unresolved,9,3.33
ES,RTH,250,Unresolved->Degrading,6,2.00
ES,RTH,250,Degrading->Directional,1,1.00
ES,RTH,300,Unknown->Unresolved,2,20.50
ES,RTH,300,Unresolved->Unknown,1,3.00
ES,RTH,300,Unresolved->Directional,5,3.80
ES,RTH,300,Directional->Degrading,6,1.83
ES,RTH,300,Degrading->Unresolved,14,5.36
ES,RTH,300,Degrading->Balance,3,1.00
ES,RTH,300,Balance->Degrading,3,1.33
ES,RTH,300,Unresolved->Balance,13,1.62
ES,RTH,300,Balance->Unresolved,12,7.17
ES,RTH,300,Unresolved->Degrading,9,1.89
ES,RTH,300,Degrading->Directional,1,1.00
ES,RTH,350,Unknown->Unresolved,2,20.50
ES,RTH,350,Unresolved->Unknown,1,3.00
ES,RTH,350,Unresolved->Directional,8,3.13
ES,RTH,350,Directional->Degrading,10,2.20
ES,RTH,350,Degrading->Unresolved,15,5.13
ES,RTH,350,Degrading->Balance,4,1.00
ES,RTH,350,Balance->Degrading,3,1.33
ES,RTH,350,Unresolved->Balance,14,1.57
ES,RTH,350,Balance->Unresolved,15,8.27
ES,RTH,350,Unresolved->Degrading,9,1.89
ES,RTH,350,Degrading->Directional,3,1.67
ES,RTH,350,Directional->Unresolved,1,2.00
ES,RTH,400,Unknown->Unresolved,2,20.50
ES,RTH,400,Unresolved->Unknown,1,3.00
ES,RTH,400,Unresolved->Directional,8,3.13
ES,RTH,400,Directional->Degrading,10,2.20
ES,RTH,400,Degrading->Unresolved,17,5.53
ES,RTH,400,Degrading->Balance,5,1.00
ES,RTH,400,Balance->Degrading,4,1.50
ES,RTH,400,Unresolved->Balance,19,1.63
ES,RTH,400,Balance->Unresolved,19,7.26
ES,RTH,400,Unresolved->Degrading,11,1.82
ES,RTH,400,Degrading->Directional,3,1.67
ES,RTH,400,Directional->Unresolved,1,2.00
