Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression
ES,RTH,50,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,50,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,50,Unresolved->Directional,1,37.00,0.345,0.700,0.086,0.365,0.277,15,0.367,0.303,0.463,0.360
ES,RTH,50,Directional->Degrading,1,2.00,0.650,0.650,0.474,0.440,0.341,0,0.341,0.511,0.471,0.399
ES,RTH,100,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,100,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,100,Unresolved->Directional,3,22.33,0.383,0.800,0.158,0.570,0.388,33,0.371,0.335,0.452,0.486
ES,RTH,100,Directional->Degrading,3,3.00,0.633,0.650,0.480,0.414,0.296,1,0.323,0.549,0.488,0.360
ES,RTH,100,Degrading->Unresolved,3,1.33,0.558,0.600,0.407,0.673,0.439,3,0.391,0.498,0.481,0.532
ES,RTH,100,Degrading->Balance,1,1.00,0.600,0.600,0.414,0.690,0.514,2,0.558,0.456,0.579,0.585
ES,RTH,100,Balance->Degrading,1,1.00,0.700,0.700,0.331,0.975,0.612,2,0.422,0.542,0.536,0.744
ES,RTH,100,Unresolved->Balance,1,2.00,0.325,0.450,0.210,0.858,0.624,4,0.427,0.373,0.479,0.702
ES,RTH,100,Balance->Unresolved,1,1.00,0.700,0.700,0.124,0.847,0.605,1,0.399,0.252,0.431,0.716
ES,RTH,150,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,150,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,150,Unresolved->Directional,5,15.20,0.395,0.800,0.186,0.583,0.381,37,0.319,0.409,0.446,0.461
ES,RTH,150,Directional->Degrading,6,3.33,0.644,0.700,0.505,0.437,0.273,6,0.307,0.584,0.478,0.337
ES,RTH,150,Degrading->Unresolved,7,1.86,0.555,0.717,0.394,0.718,0.429,12,0.425,0.439,0.457,0.570
ES,RTH,150,Degrading->Balance,1,1.00,0.600,0.600,0.414,0.690,0.514,2,0.558,0.456,0.579,0.585
ES,RTH,150,Balance->Degrading,1,1.00,0.700,0.700,0.331,0.975,0.612,2,0.422,0.542,0.536,0.744
ES,RTH,150,Unresolved->Balance,5,2.80,0.377,0.700,0.157,0.909,0.597,13,0.387,0.335,0.444,0.701
ES,RTH,150,Balance->Unresolved,4,1.00,0.588,0.700,0.102,0.897,0.630,4,0.382,0.236,0.413,0.697
ES,RTH,150,Unresolved->Degrading,2,4.50,0.272,0.700,0.263,0.824,0.515,6,0.320,0.475,0.447,0.595
ES,RTH,150,Degrading->Directional,1,1.00,0.450,0.450,0.319,0.663,0.484,1,0.444,0.405,0.519,0.556
ES,RTH,200,Unknown->Unresolved,2,3.00,0.250,0.250,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214
ES,RTH,200,Unresolved->Unknown,1,4.00,0.200,0.200,0.256,0.000,0.000,0,0.193,0.447,0.446,0.130
ES,RTH,200,Unresolved->Directional,5,15.20,0.395,0.800,0.186,0.583,0.381,37,0.319,0.409,0.446,0.461
ES,RTH,200,Directional->Degrading,6,3.33,0.644,0.700,0.505,0.437,0.273,6,0.307,0.584,0.478,0.337
ES,RTH,200,Degrading->Unresolved,11,2.09,0.546,0.717,0.385,0.769,0.447,22,0.386,0.464,0.444,0.579
ES,RTH,200,Degrading->Balance,1,1.00,0.600,0.600,0.414,0.690,0.514,2,0.558,0.456,0.579,0.585
ES,RTH,200,Balance->Degrading,1,1.00,0.700,0.700,0.331,0.975,0.612,2,0.422,0.542,0.536,0.744
ES,RTH,200,Unresolved->Balance,9,4.22,0.340,0.700,0.102,0.867,0.598,32,0.382,0.301,0.448,0.681
ES,RTH,200,Balance->Unresolved,9,1.22,0.539,0.700,0.075,0.848,0.633,12,0.388,0.255,0.446,0.676
ES,RTH,200,Unresolved->Degrading,6,3.00,0.312,0.800,0.237,0.901,0.548,14,0.364,0.435,0.459,0.676
ES,RTH,200,Degrading->Directional,1,1.00,0.450,0.450,0.319,0.663,0.484,1,0.444,0.405,0.519,0.556
