Instrument,SessionContext,TotalBars,State,CompletedRuns,MeanRunLength,MedianRunLength,MaxRunLength
ES,RTH,50,Unknown,2,3.00,3.00,3
ES,RTH,50,Unresolved,2,20.50,20.50,37
ES,RTH,50,Directional,1,2.00,2.00,2
ES,RTH,100,Unknown,2,3.00,3.00,3
ES,RTH,100,Unresolved,5,14.60,10.00,37
ES,RTH,100,Directional,3,3.00,2.00,6
ES,RTH,100,Degrading,4,1.25,1.00,2
ES,RTH,100,Balance,2,1.00,1.00,1
ES,RTH,150,Unknown,2,3.00,3.00,3
ES,RTH,150,Unresolved,13,7.92,4.00,37
ES,RTH,150,Directional,6,3.33,2.00,8
ES,RTH,150,Degrading,9,1.67,1.00,6
ES,RTH,150,Balance,5,1.00,1.00,1
ES,RTH,200,Unknown,2,3.00,3.00,3
ES,RTH,200,Unresolved,21,6.48,3.00,37
ES,RTH,200,Directional,6,3.33,2.00,8
ES,RTH,200,Degrading,13,1.92,1.00,6
ES,RTH,200,Balance,10,1.20,1.00,2
ES,RTH,250,Unknown,2,3.00,3.00,3
ES,RTH,250,Unresolved,22,6.23,3.00,37
ES,RTH,250,Directional,6,3.33,2.00,8
ES,RTH,250,Degrading,13,1.92,1.00,6
ES,RTH,250,Balance,11,1.27,1.00,2
ES,RTH,300,Unknown,2,3.00,3.00,3
ES,RTH,300,Unresolved,28,7.21,3.00,51
ES,RTH,300,Directional,6,3.33,2.00,8
ES,RTH,300,Degrading,18,1.78,1.00,6
ES,RTH,300,Balance,16,1.50,1.00,5
ES,RTH,350,Unknown,2,3.00,3.00,3
ES,RTH,350,Unresolved,33,7.39,3.00,51
ES,RTH,350,Directional,11,2.73,2.00,8
ES,RTH,350,Degrading,22,1.95,1.00,6
ES,RTH,350,Balance,18,1.44,1.00,5
ES,RTH,400,Unknown,2,3.00,3.00,3
ES,RTH,400,Unresolved,39,7.05,3.00,51
ES,RTH,400,Directional,11,2.73,2.00,8
ES,RTH,400,Degrading,25,1.92,1.00,6
ES,RTH,400,Balance,24,1.50,1.00,5
