Instrument,SessionContext,TotalBars,SponsorState,Count,Percent
ES,ETH,50,Unknown,5,10.00
ES,ETH,50,Unresolved,20,40.00
ES,ETH,50,Dominant,5,10.00
ES,ETH,50,Pressured,3,6.00
ES,ETH,50,ReclaimAttempt,6,12.00
ES,ETH,50,Failing,2,4.00
ES,ETH,50,Balance,3,6.00
ES,ETH,50,FailedReclaim,5,10.00
ES,ETH,50,Challenged,1,2.00
ES,ETH,100,Unknown,5,5.00
ES,ETH,100,Unresolved,50,50.00
ES,ETH,100,Dominant,5,5.00
ES,ETH,100,Pressured,3,3.00
ES,ETH,100,ReclaimAttempt,15,15.00
ES,ETH,100,Failing,2,2.00
ES,ETH,100,Balance,3,3.00
ES,ETH,100,FailedReclaim,16,16.00
ES,ETH,100,Challenged,1,1.00
ES,ETH,150,Unknown,5,3.33
ES,ETH,150,Unresolved,62,41.33
ES,ETH,150,Dominant,5,3.33
ES,ETH,150,Pressured,10,6.67
ES,ETH,150,ReclaimAttempt,24,16.00
ES,ETH,150,Failing,9,6.00
ES,ETH,150,Balance,3,2.00
ES,ETH,150,FailedReclaim,23,15.33
ES,ETH,150,Challenged,5,3.33
ES,ETH,150,Reasserting,4,2.67
ES,ETH,200,Unknown,5,2.50
ES,ETH,200,Unresolved,84,42.00
ES,ETH,200,Dominant,6,3.00
ES,ETH,200,Pressured,10,5.00
ES,ETH,200,ReclaimAttempt,34,17.00
ES,ETH,200,Failing,10,5.00
ES,ETH,200,Balance,3,1.50
ES,ETH,200,FailedReclaim,36,18.00
ES,ETH,200,Challenged,7,3.50
ES,ETH,200,Reasserting,5,2.50
ES,ETH,250,Unknown,5,2.00
ES,ETH,250,Unresolved,108,43.20
ES,ETH,250,Dominant,6,2.40
ES,ETH,250,Pressured,10,4.00
ES,ETH,250,ReclaimAttempt,42,16.80
ES,ETH,250,Failing,10,4.00
ES,ETH,250,Balance,3,1.20
ES,ETH,250,FailedReclaim,52,20.80
ES,ETH,250,Challenged,9,3.60
ES,ETH,250,Reasserting,5,2.00
ES,ETH,300,Unknown,5,1.67
ES,ETH,300,Unresolved,129,43.00
ES,ETH,300,Dominant,6,2.00
ES,ETH,300,Pressured,12,4.00
ES,ETH,300,ReclaimAttempt,52,17.33
ES,ETH,300,Failing,12,4.00
ES,ETH,300,Balance,3,1.00
ES,ETH,300,FailedReclaim,58,19.33
ES,ETH,300,Challenged,13,4.33
ES,ETH,300,Reasserting,10,3.33
ES,ETH,350,Unknown,5,1.43
ES,ETH,350,Unresolved,141,40.29
ES,ETH,350,Dominant,6,1.71
ES,ETH,350,Pressured,12,3.43
ES,ETH,350,ReclaimAttempt,63,18.00
ES,ETH,350,Failing,18,5.14
ES,ETH,350,Balance,11,3.14
ES,ETH,350,FailedReclaim,65,18.57
ES,ETH,350,Challenged,18,5.14
ES,ETH,350,Reasserting,11,3.14
ES,ETH,400,Unknown,8,2.00
ES,ETH,400,Unresolved,163,40.75
ES,ETH,400,Dominant,6,1.50
ES,ETH,400,Pressured,13,3.25
ES,ETH,400,ReclaimAttempt,73,18.25
ES,ETH,400,Failing,21,5.25
ES,ETH,400,Balance,11,2.75
ES,ETH,400,FailedReclaim,70,17.50
ES,ETH,400,Challenged,24,6.00
ES,ETH,400,Reasserting,11,2.75
ES,ETH,450,Unknown,8,1.78
ES,ETH,450,Unresolved,179,39.78
ES,ETH,450,Dominant,6,1.33
ES,ETH,450,Pressured,17,3.78
ES,ETH,450,ReclaimAttempt,83,18.44
ES,ETH,450,Failing,26,5.78
ES,ETH,450,Balance,14,3.11
ES,ETH,450,FailedReclaim,80,17.78
ES,ETH,450,Challenged,25,5.56
ES,ETH,450,Reasserting,12,2.67
ES,ETH,500,Unknown,8,1.60
ES,ETH,500,Unresolved,193,38.60
ES,ETH,500,Dominant,6,1.20
ES,ETH,500,Pressured,17,3.40
ES,ETH,500,ReclaimAttempt,93,18.60
ES,ETH,500,Failing,29,5.80
ES,ETH,500,Balance,21,4.20
ES,ETH,500,FailedReclaim,92,18.40
ES,ETH,500,Challenged,27,5.40
ES,ETH,500,Reasserting,14,2.80
ES,ETH,550,Unknown,8,1.45
ES,ETH,550,Unresolved,206,37.45
ES,ETH,550,Dominant,6,1.09
ES,ETH,550,Pressured,22,4.00
ES,ETH,550,ReclaimAttempt,102,18.55
ES,ETH,550,Failing,36,6.55
ES,ETH,550,Balance,22,4.00
ES,ETH,550,FailedReclaim,100,18.18
ES,ETH,550,Challenged,30,5.45
ES,ETH,550,Reasserting,18,3.27
ES,ETH,600,Unknown,8,1.33
ES,ETH,600,Unresolved,219,36.50
ES,ETH,600,Dominant,6,1.00
ES,ETH,600,Pressured,24,4.00
ES,ETH,600,ReclaimAttempt,113,18.83
ES,ETH,600,Failing,45,7.50
ES,ETH,600,Balance,23,3.83
ES,ETH,600,FailedReclaim,106,17.67
ES,ETH,600,Challenged,38,6.33
ES,ETH,600,Reasserting,18,3.00
ES,ETH,650,Unknown,8,1.23
ES,ETH,650,Unresolved,241,37.08
ES,ETH,650,Dominant,6,0.92
ES,ETH,650,Pressured,25,3.85
ES,ETH,650,ReclaimAttempt,123,18.92
ES,ETH,650,Failing,47,7.23
ES,ETH,650,Balance,23,3.54
ES,ETH,650,FailedReclaim,119,18.31
ES,ETH,650,Challenged,39,6.00
ES,ETH,650,Reasserting,19,2.92
ES,ETH,700,Unknown,8,1.14
ES,ETH,700,Unresolved,259,37.00
ES,ETH,700,Dominant,6,0.86
ES,ETH,700,Pressured,28,4.00
ES,ETH,700,ReclaimAttempt,133,19.00
ES,ETH,700,Failing,50,7.14
ES,ETH,700,Balance,26,3.71
ES,ETH,700,FailedReclaim,126,18.00
ES,ETH,700,Challenged,44,6.29
ES,ETH,700,Reasserting,20,2.86
ES,ETH,750,Unknown,8,1.07
ES,ETH,750,Unresolved,281,37.47
ES,ETH,750,Dominant,6,0.80
ES,ETH,750,Pressured,28,3.73
ES,ETH,750,ReclaimAttempt,142,18.93
ES,ETH,750,Failing,54,7.20
ES,ETH,750,Balance,26,3.47
ES,ETH,750,FailedReclaim,137,18.27
ES,ETH,750,Challenged,48,6.40
ES,ETH,750,Reasserting,20,2.67
ES,ETH,800,Unknown,8,1.00
ES,ETH,800,Unresolved,309,38.63
ES,ETH,800,Dominant,6,0.75
ES,ETH,800,Pressured,28,3.50
ES,ETH,800,ReclaimAttempt,152,19.00
ES,ETH,800,Failing,54,6.75
ES,ETH,800,Balance,26,3.25
ES,ETH,800,FailedReclaim,149,18.63
ES,ETH,800,Challenged,48,6.00
ES,ETH,800,Reasserting,20,2.50
ES,ETH,850,Unknown,8,0.94
ES,ETH,850,Unresolved,325,38.24
ES,ETH,850,Dominant,6,0.71
ES,ETH,850,Pressured,28,3.29
ES,ETH,850,ReclaimAttempt,162,19.06
ES,ETH,850,Failing,58,6.82
ES,ETH,850,Balance,32,3.76
ES,ETH,850,FailedReclaim,158,18.59
ES,ETH,850,Challenged,51,6.00
ES,ETH,850,Reasserting,22,2.59
ES,ETH,900,Unknown,8,0.89
ES,ETH,900,Unresolved,345,38.33
ES,ETH,900,Dominant,6,0.67
ES,ETH,900,Pressured,28,3.11
ES,ETH,900,ReclaimAttempt,171,19.00
ES,ETH,900,Failing,60,6.67
ES,ETH,900,Balance,32,3.56
ES,ETH,900,FailedReclaim,171,19.00
ES,ETH,900,Challenged,56,6.22
ES,ETH,900,Reasserting,23,2.56
ES,ETH,950,Unknown,8,0.84
ES,ETH,950,Unresolved,364,38.32
ES,ETH,950,Dominant,6,0.63
ES,ETH,950,Pressured,28,2.95
ES,ETH,950,ReclaimAttempt,181,19.05
ES,ETH,950,Failing,63,6.63
ES,ETH,950,Balance,32,3.37
ES,ETH,950,FailedReclaim,180,18.95
ES,ETH,950,Challenged,64,6.74
ES,ETH,950,Reasserting,24,2.53
ES,ETH,1000,Unknown,8,0.80
ES,ETH,1000,Unresolved,378,37.80
ES,ETH,1000,Dominant,6,0.60
ES,ETH,1000,Pressured,30,3.00
ES,ETH,1000,ReclaimAttempt,190,19.00
ES,ETH,1000,Failing,67,6.70
ES,ETH,1000,Balance,39,3.90
ES,ETH,1000,FailedReclaim,189,18.90
ES,ETH,1000,Challenged,69,6.90
ES,ETH,1000,Reasserting,24,2.40
ES,ETH,1050,Unknown,8,0.76
ES,ETH,1050,Unresolved,400,38.10
ES,ETH,1050,Dominant,6,0.57
ES,ETH,1050,Pressured,30,2.86
ES,ETH,1050,ReclaimAttempt,200,19.05
ES,ETH,1050,Failing,67,6.38
ES,ETH,1050,Balance,43,4.10
