BarIndex,Time,MacroState,ActiveDirection,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,SFCStatus,ExpectedNextBehavior,InvalidationCondition
1,"2026-05-13 15:10:00","Unknown","Unknown","Unknown",0.200,"Early",0.000,0.000,0.000,0.000,0.000,"None","Insufficient structure. Continue monitoring.","N/A"
2,"2026-05-13 15:15:00","Unknown","Up","B2B",0.200,"Early",0.020,0.050,0.150,0.000,0.100,"None","Insufficient structure. Continue monitoring.","N/A"
3,"2026-05-13 15:20:00","Unknown","Up","B2B",0.800,"Early",0.198,0.046,0.138,0.000,0.092,"None","Insufficient structure. Continue monitoring.","N/A"
4,"2026-05-13 15:25:00","Unknown","Up","TwoR",0.800,"Developing",0.363,0.042,0.127,0.000,0.085,"None","Insufficient structure. Continue monitoring.","N/A"
5,"2026-05-13 15:30:00","Unknown","Up","TwoR",0.900,"Resolved",0.434,0.089,0.267,0.000,0.178,"None","Insufficient structure. Continue monitoring.","N/A"
6,"2026-05-13 15:35:00","Directional","Up","TwoR",0.900,"Resolved",0.499,0.132,0.395,0.000,0.264,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
7,"2026-05-13 15:40:00","Directional","Up","TwoR",0.900,"Resolved",0.409,0.531,0.514,0.130,0.493,"Candidate","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
8,"2026-05-13 15:45:00","Directional","Up","TwoR",0.900,"Resolved",0.506,0.489,0.473,0.120,0.453,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
9,"2026-05-13 15:50:00","Directional","Up","TwoR",0.900,"Resolved",0.596,0.450,0.435,0.110,0.417,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
10,"2026-05-13 15:55:00","Degrading","Up","TwoR",0.900,"Resolved",0.598,0.624,0.450,0.181,0.484,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
11,"2026-05-13 16:00:00","Unresolved","Up","TwoR",0.900,"Resolved",0.550,0.984,0.564,0.297,0.695,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
12,"2026-05-13 16:05:00","Degrading","Up","TwoR",0.900,"Resolved",0.636,0.905,0.519,0.273,0.639,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
13,"2026-05-13 16:10:00","Degrading","Up","TwoR",0.900,"Resolved",0.765,0.833,0.477,0.251,0.588,"Candidate","Dominance still exists, but efficiency is degrading. Watch for balance or failed continuation.","Invalidated by clean dominance reassertion with efficient continuation."
14,"2026-05-13 16:15:00","Unresolved","Up","TwoR",0.900,"Resolved",0.624,1.000,0.739,0.361,0.891,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
15,"2026-05-13 16:20:00","Unresolved","Up","TwoR",0.900,"Resolved",0.674,0.970,0.830,0.332,0.920,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
16,"2026-05-13 16:25:00","Unresolved","Up","TwoR",0.900,"Resolved",0.800,0.892,0.764,0.306,0.846,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
