Instrument,SessionContext,BarIndex,Time,Open,High,Low,Close,MacroState,ActiveDirection,SponsorState,SponsorConfidence,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,Events,SFCStatus,ExpectedNextBehavior,InvalidationCondition
"ES","RTH",1,"2021-04-19 06:40:00",4169.25,4170.25,4168.5,4168.5,"Unknown","Down","Unknown",0.250,"R2R",0.200,"Early",0.050,0.000,0.000,0.000,0.000,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",2,"2021-04-19 06:45:00",4168.5,4170.25,4167.5,4169.75,"Unknown","Down","Unknown",0.250,"TwoB",0.350,"Early",0.096,0.000,0.000,0.000,0.000,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",3,"2021-04-19 06:50:00",4169.75,4171.5,4169.25,4170.75,"Unknown","Up","Unknown",0.250,"B2B",0.200,"Early",0.088,0.000,0.000,0.000,0.000,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",4,"2021-04-19 06:55:00",4170.5,4171.5,4169.25,4170.25,"Unknown","Up","Unknown",0.250,"TwoR",0.350,"Early",0.081,0.000,0.000,0.000,0.000,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",5,"2021-04-19 07:00:00",4170.5,4171.5,4169.5,4170.25,"Unknown","Down","Unknown",0.250,"R2R",0.200,"Early",0.000,0.040,0.160,0.000,0.080,"LateralSeed","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",6,"2021-04-19 07:05:00",4170.25,4170.75,4161,4161.75,"Unknown","Down","Unknown",0.250,"R2R",0.850,"Early",0.150,0.037,0.147,0.000,0.074,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",7,"2021-04-19 07:10:00",4161.5,4163,4155,4157.5,"Unresolved","Down","Unresolved",0.200,"R2R",0.850,"Developing",0.288,0.034,0.135,0.000,0.068,"PeakVolume","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",8,"2021-04-19 07:15:00",4157.5,4158.5,4154.75,4157.75,"Directional","Down","Dominant",0.550,"TwoB",0.850,"Developing",0.415,0.031,0.125,0.000,0.062,"PeakVolume","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",9,"2021-04-19 07:20:00",4157.75,4161,4155.25,4160.25,"Directional","Up","Unknown",0.250,"B2B",0.200,"Early",0.382,0.029,0.115,0.000,0.057,"","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",10,"2021-04-19 07:25:00",4160.5,4163.75,4160.25,4163.5,"Directional","Up","Unknown",0.250,"B2B",0.430,"Early",0.351,0.076,0.105,0.000,0.053,"","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",11,"2021-04-19 07:30:00",4163.25,4164,4161.75,4161.75,"Unresolved","Up","Unresolved",0.200,"TwoR",0.430,"Developing",0.223,0.310,0.197,0.050,0.179,"FailedContinuation","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",12,"2021-04-19 07:35:00",4162,4164.75,4161.5,4163.25,"Unresolved","Up","Unresolved",0.200,"B2B",0.430,"Developing",0.205,0.335,0.181,0.046,0.164,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",13,"2021-04-19 07:40:00",4163.25,4164.25,4162.5,4163,"Unresolved","Up","Unresolved",0.200,"TwoR",0.430,"Developing",0.189,0.359,0.167,0.042,0.151,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",14,"2021-04-19 07:45:00",4163,4163.75,4156.25,4157,"Unresolved","Down","Unresolved",0.200,"R2R",0.200,"Early",0.174,0.330,0.153,0.039,0.139,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",15,"2021-04-19 07:50:00",4156.75,4157,4147.75,4151,"Unresolved","Down","Unresolved",0.200,"R2R",0.850,"Early",0.310,0.304,0.141,0.036,0.128,"PeakVolume","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",16,"2021-04-19 07:55:00",4151,4158,4149.5,4156.5,"Unresolved","Down","Unresolved",0.200,"TwoB",0.850,"Developing",0.385,0.279,0.130,0.033,0.118,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",17,"2021-04-19 08:00:00",4156.5,4159.25,4155.75,4157.5,"Unresolved","Up","Unresolved",0.200,"B2B",0.200,"Early",0.274,0.297,0.279,0.030,0.188,"LateralSeed","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
