Instrument,SessionContext,BarIndex,Time,Open,High,Low,Close,MacroState,ActiveDirection,SponsorState,SponsorConfidence,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,Events,SFCStatus,ExpectedNextBehavior,InvalidationCondition
"ES","RTH",1,"2022-07-18 06:40:00",3898.75,3901.75,3894.5,3896.5,"Unknown","Down","Unknown",0.250,"R2R",0.200,"Early",0.050,0.000,0.000,0.000,0.000,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",2,"2022-07-18 06:45:00",3896.75,3901.25,3891,3900.5,"Unknown","Down","Unknown",0.250,"TwoB",0.350,"Early",0.096,0.000,0.000,0.000,0.000,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",3,"2022-07-18 06:50:00",3900.75,3904.75,3897.5,3902.25,"Unknown","Up","Unknown",0.250,"B2B",0.200,"Early",0.088,0.000,0.000,0.000,0.000,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",4,"2022-07-18 06:55:00",3902,3903.75,3899.5,3901.75,"Unknown","Up","Unknown",0.250,"TwoR",0.350,"Early",0.001,0.040,0.160,0.000,0.080,"LateralSeed","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",5,"2022-07-18 07:00:00",3902,3905.25,3897.25,3897.5,"Unknown","Down","Unknown",0.250,"R2R",0.200,"Early",0.001,0.037,0.147,0.000,0.074,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",6,"2022-07-18 07:05:00",3897.5,3901.5,3893.75,3897.5,"Unknown","Down","Unknown",0.250,"R2R",0.350,"Early",0.001,0.034,0.135,0.000,0.068,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",7,"2022-07-18 07:10:00",3897.5,3897.5,3892,3894.5,"Unknown","Down","Unknown",0.250,"R2R",0.670,"Developing",0.061,0.031,0.125,0.000,0.062,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",8,"2022-07-18 07:15:00",3894.5,3895.5,3886.5,3891.5,"Unknown","Down","Unknown",0.250,"R2R",0.770,"Developing",0.116,0.029,0.115,0.000,0.057,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",9,"2022-07-18 07:20:00",3891.5,3894.75,3889,3892.5,"Unknown","Down","Unknown",0.250,"TwoB",0.770,"Developing",0.167,0.026,0.105,0.000,0.053,"","None","Insufficient structure. Continue monitoring.","N/A"
"ES","RTH",10,"2022-07-18 07:25:00",3892.5,3895.25,3891.25,3893.25,"Unresolved","Up","Unresolved",0.200,"B2B",0.200,"Early",0.073,0.064,0.257,0.000,0.129,"LateralSeed","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",11,"2022-07-18 07:30:00",3893.25,3893.75,3890,3891.75,"Unresolved","Up","Unresolved",0.200,"TwoR",0.350,"Early",0.068,0.059,0.236,0.000,0.118,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",12,"2022-07-18 07:35:00",3892,3897,3891.5,3895.75,"Unresolved","Up","Unresolved",0.200,"B2B",0.550,"Developing",0.062,0.054,0.218,0.000,0.109,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",13,"2022-07-18 07:40:00",3896,3897.25,3890.5,3893.25,"Unresolved","Up","Unresolved",0.200,"TwoR",0.550,"Developing",0.057,0.050,0.200,0.000,0.100,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",14,"2022-07-18 07:45:00",3893.5,3895.5,3891.5,3893.25,"Unresolved","Down","Unresolved",0.200,"R2R",0.200,"Early",0.000,0.086,0.344,0.000,0.172,"LateralSeed","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",15,"2022-07-18 07:50:00",3893,3893,3887,3890.25,"Unresolved","Down","Unresolved",0.200,"R2R",0.850,"Early",0.100,0.079,0.317,0.000,0.158,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",16,"2022-07-18 07:55:00",3890,3892.25,3888.5,3891.25,"Unresolved","Down","Unresolved",0.200,"TwoB",0.850,"Developing",0.192,0.073,0.291,0.000,0.146,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",17,"2022-07-18 08:00:00",3891.25,3895.5,3890.5,3893.75,"Unresolved","Up","Unresolved",0.200,"B2B",0.200,"Early",0.177,0.067,0.268,0.000,0.134,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",18,"2022-07-18 08:05:00",3893.75,3895,3890.25,3892.5,"Unresolved","Up","Unresolved",0.200,"TwoR",0.350,"Early",0.163,0.062,0.247,0.000,0.123,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",19,"2022-07-18 08:10:00",3892.75,3894.25,3889,3890,"Unresolved","Down","Unresolved",0.200,"R2R",0.200,"Early",0.070,0.097,0.387,0.000,0.193,"LateralSeed","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",20,"2022-07-18 08:15:00",3890,3891,3888.5,3890.25,"Unresolved","Down","Unresolved",0.200,"TwoB",0.350,"Early",0.064,0.089,0.356,0.000,0.178,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",21,"2022-07-18 08:20:00",3890.5,3891.25,3887.5,3889.75,"Unresolved","Down","Unresolved",0.200,"R2R",0.670,"Developing",0.119,0.082,0.327,0.000,0.164,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",22,"2022-07-18 08:25:00",3889.5,3891.75,3888.75,3891.25,"Unresolved","Down","Unresolved",0.200,"TwoB",0.670,"Developing",0.169,0.075,0.301,0.000,0.151,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",23,"2022-07-18 08:30:00",3891.25,3892.75,3889.75,3890.75,"Unresolved","Down","ReclaimAttempt",0.450,"R2R",0.670,"Developing",0.176,0.089,0.427,0.000,0.199,"LateralSeed|ReclaimAttempt","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",24,"2022-07-18 08:35:00",3890.5,3894,3888.5,3892,"Unresolved","Down","FailedReclaim",0.700,"TwoB",0.750,"Mature",0.142,0.202,0.453,0.060,0.263,"RejectedReclaim","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",25,"2022-07-18 08:40:00",3892.25,3895,3891.75,3894.5,"Unresolved","Up","Unresolved",0.200,"B2B",0.200,"Early",0.130,0.186,0.417,0.055,0.242,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",26,"2022-07-18 08:45:00",3894.75,3898.25,3894.25,3898.25,"Unresolved","Up","Unresolved",0.200,"B2B",0.670,"Early",0.180,0.171,0.383,0.051,0.222,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",27,"2022-07-18 08:50:00",3898,3898.75,3894.25,3894.75,"Unresolved","Up","Unresolved",0.200,"TwoR",0.670,"Developing",0.226,0.157,0.353,0.047,0.205,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",28,"2022-07-18 08:55:00",3894.75,3897.5,3893.75,3896.75,"Unresolved","Up","ReclaimAttempt",0.450,"B2B",0.670,"Developing",0.228,0.165,0.474,0.033,0.248,"LateralSeed|ReclaimAttempt","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"ES","RTH",29,"2022-07-18 09:00:00",3896.75,3899,3896,3898,"Directional","Up","Reasserting",0.700,"B2B",0.670,"Developing",0.419,0.052,0.357,0.000,0.128,"AcceptedReclaim","None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
"ES","RTH",30,"2022-07-18 09:05:00",3898,3898.5,3895.75,3896.25,"Unresolved","Up","Unresolved",0.200,"TwoR",0.750,"Mature",0.346,0.257,0.428,0.050,0.248,"FailedContinuation","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
