Instrument,SessionContext,BarIndex,Time,Open,High,Low,Close,MacroState,ActiveDirection,SponsorState,SponsorConfidence,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,Events,SFCStatus,ExpectedNextBehavior,InvalidationCondition
"NQ","RTH",1,"2022-07-18 06:40:00",12137.25,12155.25,12104,12116.5,"Unknown","Down","Unknown",0.250,"R2R",0.200,"Early",0.050,0.000,0.000,0.000,0.000,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",2,"2022-07-18 06:45:00",12117.5,12136.75,12092.5,12133.5,"Unknown","Down","Unknown",0.250,"TwoB",0.350,"Early",0.096,0.000,0.000,0.000,0.000,"PeakVolume","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",3,"2022-07-18 06:50:00",12134.25,12169.25,12128.25,12164.25,"Unknown","Up","Unknown",0.250,"B2B",0.200,"Early",0.088,0.000,0.000,0.000,0.000,"","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",4,"2022-07-18 06:55:00",12164.25,12178,12159,12170,"Unknown","Up","Unknown",0.250,"B2B",0.430,"Early",0.081,0.050,0.000,0.000,0.000,"","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",5,"2022-07-18 07:00:00",12170,12186.5,12160.5,12162.5,"Unknown","Up","Unknown",0.250,"TwoR",0.430,"Developing",0.000,0.136,0.160,0.000,0.080,"LateralSeed","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",6,"2022-07-18 07:05:00",12162.5,12183.5,12142.75,12161,"Unknown","Down","Unknown",0.250,"R2R",0.200,"Early",0.000,0.125,0.147,0.000,0.074,"","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",7,"2022-07-18 07:10:00",12160.25,12160.25,12128.5,12143.75,"Unknown","Down","Unknown",0.250,"R2R",0.430,"Early",0.000,0.165,0.135,0.000,0.068,"","None","Insufficient structure. Continue monitoring.","N/A"
"NQ","RTH",8,"2022-07-18 07:15:00",12143.75,12144.75,12110.75,12124.75,"Unresolved","Down","Unresolved",0.200,"R2R",0.430,"Developing",0.000,0.202,0.125,0.000,0.062,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"NQ","RTH",9,"2022-07-18 07:20:00",12124.5,12133.25,12104.25,12123.25,"Unresolved","Down","Unresolved",0.200,"R2R",0.430,"Developing",0.000,0.236,0.115,0.000,0.057,"","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
"NQ","RTH",10,"2022-07-18 07:25:00",12123.75,12137.5,12117.75,12124,"Unresolved","Down","Unresolved",0.200,"TwoB",0.430,"Developing",0.000,0.307,0.265,0.000,0.133,"LateralSeed","None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
