Instrument,SessionContext,TotalBars,Quadruplet,Count
ES,RTH,50,Unknown->Unknown->Unknown->Unresolved,2
ES,RTH,50,Unknown->Unknown->Unresolved->Unresolved,2
ES,RTH,50,Unknown->Unresolved->Unresolved->Unresolved,2
ES,RTH,50,Unresolved->Unresolved->Unresolved->Unresolved,35
ES,RTH,50,Unresolved->Unresolved->Unresolved->Unknown,1
ES,RTH,50,Unresolved->Unresolved->Unknown->Unknown,1
ES,RTH,50,Unresolved->Unknown->Unknown->Unknown,1
ES,RTH,50,Unresolved->Unresolved->Unresolved->Directional,1
ES,RTH,50,Unresolved->Unresolved->Directional->Directional,1
ES,RTH,50,Unresolved->Directional->Directional->Degrading,1
ES,RTH,100,Unknown->Unknown->Unknown->Unresolved,2
ES,RTH,100,Unknown->Unknown->Unresolved->Unresolved,2
ES,RTH,100,Unknown->Unresolved->Unresolved->Unresolved,2
ES,RTH,100,Unresolved->Unresolved->Unresolved->Unresolved,61
ES,RTH,100,Unresolved->Unresolved->Unresolved->Unknown,1
ES,RTH,100,Unresolved->Unresolved->Unknown->Unknown,1
ES,RTH,100,Unresolved->Unknown->Unknown->Unknown,1
ES,RTH,100,Unresolved->Unresolved->Unresolved->Directional,3
ES,RTH,100,Unresolved->Unresolved->Directional->Directional,2
ES,RTH,100,Unresolved->Directional->Directional->Degrading,1
ES,RTH,100,Directional->Directional->Degrading->Unresolved,1
ES,RTH,100,Directional->Degrading->Unresolved->Unresolved,2
ES,RTH,100,Degrading->Unresolved->Unresolved->Unresolved,2
ES,RTH,100,Unresolved->Directional->Directional->Directional,1
ES,RTH,100,Directional->Directional->Directional->Directional,3
ES,RTH,100,Directional->Directional->Directional->Degrading,1
ES,RTH,100,Directional->Directional->Degrading->Balance,1
ES,RTH,100,Directional->Degrading->Balance->Degrading,1
ES,RTH,100,Degrading->Balance->Degrading->Degrading,1
ES,RTH,100,Balance->Degrading->Degrading->Unresolved,1
ES,RTH,100,Degrading->Degrading->Unresolved->Unresolved,1
ES,RTH,100,Unresolved->Unresolved->Directional->Degrading,1
ES,RTH,100,Unresolved->Directional->Degrading->Unresolved,1
ES,RTH,100,Degrading->Unresolved->Unresolved->Balance,1
ES,RTH,100,Unresolved->Unresolved->Balance->Unresolved,1
ES,RTH,100,Unresolved->Balance->Unresolved->Unresolved,1
ES,RTH,100,Balance->Unresolved->Unresolved->Unresolved,1
ES,RTH,150,Unknown->Unknown->Unknown->Unresolved,2
ES,RTH,150,Unknown->Unknown->Unresolved->Unresolved,2
ES,RTH,150,Unknown->Unresolved->Unresolved->Unresolved,2
ES,RTH,150,Unresolved->Unresolved->Unresolved->Unresolved,73
ES,RTH,150,Unresolved->Unresolved->Unresolved->Unknown,1
ES,RTH,150,Unresolved->Unresolved->Unknown->Unknown,1
ES,RTH,150,Unresolved->Unknown->Unknown->Unknown,1
ES,RTH,150,Unresolved->Unresolved->Unresolved->Directional,4
ES,RTH,150,Unresolved->Unresolved->Directional->Directional,3
ES,RTH,150,Unresolved->Directional->Directional->Degrading,2
ES,RTH,150,Directional->Directional->Degrading->Unresolved,2
ES,RTH,150,Directional->Degrading->Unresolved->Unresolved,2
ES,RTH,150,Degrading->Unresolved->Unresolved->Unresolved,3
ES,RTH,150,Unresolved->Directional->Directional->Directional,2
ES,RTH,150,Directional->Directional->Directional->Directional,8
ES,RTH,150,Directional->Directional->Directional->Degrading,2
ES,RTH,150,Directional->Directional->Degrading->Balance,1
ES,RTH,150,Directional->Degrading->Balance->Degrading,1
ES,RTH,150,Degrading->Balance->Degrading->Degrading,1
ES,RTH,150,Balance->Degrading->Degrading->Unresolved,1
ES,RTH,150,Degrading->Degrading->Unresolved->Unresolved,1
ES,RTH,150,Unresolved->Unresolved->Directional->Degrading,1
ES,RTH,150,Unresolved->Directional->Degrading->Unresolved,1
ES,RTH,150,Degrading->Unresolved->Unresolved->Balance,1
ES,RTH,150,Unresolved->Unresolved->Balance->Unresolved,2
ES,RTH,150,Unresolved->Balance->Unresolved->Unresolved,3
ES,RTH,150,Balance->Unresolved->Unresolved->Unresolved,3
ES,RTH,150,Unresolved->Unresolved->Unresolved->Degrading,1
ES,RTH,150,Unresolved->Unresolved->Degrading->Directional,1
ES,RTH,150,Unresolved->Degrading->Directional->Degrading,1
ES,RTH,150,Degrading->Directional->Degrading->Unresolved,1
ES,RTH,150,Directional->Degrading->Unresolved->Degrading,1
ES,RTH,150,Degrading->Unresolved->Degrading->Unresolved,1
ES,RTH,150,Unresolved->Degrading->Unresolved->Unresolved,1
ES,RTH,150,Unresolved->Unresolved->Unresolved->Balance,2
ES,RTH,150,Directional->Degrading->Unresolved->Directional,1
ES,RTH,150,Degrading->Unresolved->Directional->Directional,1
ES,RTH,150,Directional->Directional->Degrading->Degrading,1
ES,RTH,150,Directional->Degrading->Degrading->Degrading,1
ES,RTH,150,Degrading->Degrading->Degrading->Degrading,3
ES,RTH,150,Degrading->Degrading->Degrading->Unresolved,1
