Instrument,SessionContext,TotalBars,Prefix,Triplet,Count,ConditionalProbability
ES,RTH,50,Unknown->Unknown,Unknown->Unknown->Unknown,2,50.00
ES,RTH,50,Unknown->Unknown,Unknown->Unknown->Unresolved,2,50.00
ES,RTH,50,Unknown->Unresolved,Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,50,Unresolved->Unresolved,Unresolved->Unresolved->Unresolved,37,94.87
ES,RTH,50,Unresolved->Unresolved,Unresolved->Unresolved->Unknown,1,2.56
ES,RTH,50,Unresolved->Unknown,Unresolved->Unknown->Unknown,1,100.00
ES,RTH,50,Unresolved->Unresolved,Unresolved->Unresolved->Directional,1,2.56
ES,RTH,50,Unresolved->Directional,Unresolved->Directional->Directional,1,100.00
ES,RTH,50,Directional->Directional,Directional->Directional->Degrading,1,100.00
ES,RTH,100,Unknown->Unknown,Unknown->Unknown->Unknown,2,50.00
ES,RTH,100,Unknown->Unknown,Unknown->Unknown->Unresolved,2,50.00
ES,RTH,100,Unknown->Unresolved,Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,100,Unresolved->Unresolved,Unresolved->Unresolved->Unresolved,66,92.96
ES,RTH,100,Unresolved->Unresolved,Unresolved->Unresolved->Unknown,1,1.41
ES,RTH,100,Unresolved->Unknown,Unresolved->Unknown->Unknown,1,100.00
ES,RTH,100,Unresolved->Unresolved,Unresolved->Unresolved->Directional,3,4.23
ES,RTH,100,Unresolved->Directional,Unresolved->Directional->Directional,2,66.67
ES,RTH,100,Directional->Directional,Directional->Directional->Degrading,2,33.33
ES,RTH,100,Directional->Degrading,Directional->Degrading->Unresolved,2,66.67
ES,RTH,100,Degrading->Unresolved,Degrading->Unresolved->Unresolved,3,100.00
ES,RTH,100,Directional->Directional,Directional->Directional->Directional,4,66.67
ES,RTH,100,Directional->Degrading,Directional->Degrading->Balance,1,33.33
ES,RTH,100,Degrading->Balance,Degrading->Balance->Degrading,1,100.00
ES,RTH,100,Balance->Degrading,Balance->Degrading->Degrading,1,100.00
ES,RTH,100,Degrading->Degrading,Degrading->Degrading->Unresolved,1,100.00
ES,RTH,100,Unresolved->Directional,Unresolved->Directional->Degrading,1,33.33
ES,RTH,100,Unresolved->Unresolved,Unresolved->Unresolved->Balance,1,1.41
ES,RTH,100,Unresolved->Balance,Unresolved->Balance->Unresolved,1,100.00
ES,RTH,100,Balance->Unresolved,Balance->Unresolved->Unresolved,1,100.00
ES,RTH,150,Unknown->Unknown,Unknown->Unknown->Unknown,2,50.00
ES,RTH,150,Unknown->Unknown,Unknown->Unknown->Unresolved,2,50.00
ES,RTH,150,Unknown->Unresolved,Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,150,Unresolved->Unresolved,Unresolved->Unresolved->Unresolved,81,90.00
ES,RTH,150,Unresolved->Unresolved,Unresolved->Unresolved->Unknown,1,1.11
ES,RTH,150,Unresolved->Unknown,Unresolved->Unknown->Unknown,1,100.00
ES,RTH,150,Unresolved->Unresolved,Unresolved->Unresolved->Directional,4,4.44
ES,RTH,150,Unresolved->Directional,Unresolved->Directional->Directional,4,80.00
ES,RTH,150,Directional->Directional,Directional->Directional->Degrading,4,28.57
ES,RTH,150,Directional->Degrading,Directional->Degrading->Unresolved,4,66.67
ES,RTH,150,Degrading->Unresolved,Degrading->Unresolved->Unresolved,4,57.14
ES,RTH,150,Directional->Directional,Directional->Directional->Directional,10,71.43
ES,RTH,150,Directional->Degrading,Directional->Degrading->Balance,1,16.67
ES,RTH,150,Degrading->Balance,Degrading->Balance->Degrading,1,100.00
ES,RTH,150,Balance->Degrading,Balance->Degrading->Degrading,1,100.00
ES,RTH,150,Degrading->Degrading,Degrading->Degrading->Unresolved,2,33.33
ES,RTH,150,Unresolved->Directional,Unresolved->Directional->Degrading,1,20.00
ES,RTH,150,Unresolved->Unresolved,Unresolved->Unresolved->Balance,3,3.33
ES,RTH,150,Unresolved->Balance,Unresolved->Balance->Unresolved,4,100.00
ES,RTH,150,Balance->Unresolved,Balance->Unresolved->Unresolved,3,75.00
ES,RTH,150,Unresolved->Unresolved,Unresolved->Unresolved->Degrading,1,1.11
ES,RTH,150,Unresolved->Degrading,Unresolved->Degrading->Directional,1,50.00
ES,RTH,150,Degrading->Directional,Degrading->Directional->Degrading,1,100.00
ES,RTH,150,Degrading->Unresolved,Degrading->Unresolved->Degrading,1,14.29
ES,RTH,150,Unresolved->Degrading,Unresolved->Degrading->Unresolved,1,50.00
ES,RTH,150,Degrading->Unresolved,Degrading->Unresolved->Directional,1,14.29
ES,RTH,150,Directional->Degrading,Directional->Degrading->Degrading,1,16.67
ES,RTH,150,Degrading->Degrading,Degrading->Degrading->Degrading,4,66.67
ES,RTH,150,Degrading->Unresolved,Degrading->Unresolved->Balance,1,14.29
ES,RTH,150,Balance->Unresolved,Balance->Unresolved->Balance,1,25.00
ES,RTH,200,Unknown->Unknown,Unknown->Unknown->Unknown,2,50.00
ES,RTH,200,Unknown->Unknown,Unknown->Unknown->Unresolved,2,50.00
ES,RTH,200,Unknown->Unresolved,Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,200,Unresolved->Unresolved,Unresolved->Unresolved->Unresolved,100,86.96
ES,RTH,200,Unresolved->Unresolved,Unresolved->Unresolved->Unknown,1,0.87
ES,RTH,200,Unresolved->Unknown,Unresolved->Unknown->Unknown,1,100.00
ES,RTH,200,Unresolved->Unresolved,Unresolved->Unresolved->Directional,4,3.48
ES,RTH,200,Unresolved->Directional,Unresolved->Directional->Directional,4,80.00
ES,RTH,200,Directional->Directional,Directional->Directional->Degrading,4,28.57
ES,RTH,200,Directional->Degrading,Directional->Degrading->Unresolved,4,66.67
ES,RTH,200,Degrading->Unresolved,Degrading->Unresolved->Unresolved,7,63.64
ES,RTH,200,Directional->Directional,Directional->Directional->Directional,10,71.43
ES,RTH,200,Directional->Degrading,Directional->Degrading->Balance,1,16.67
ES,RTH,200,Degrading->Balance,Degrading->Balance->Degrading,1,100.00
ES,RTH,200,Balance->Degrading,Balance->Degrading->Degrading,1,100.00
ES,RTH,200,Degrading->Degrading,Degrading->Degrading->Unresolved,4,33.33
ES,RTH,200,Unresolved->Directional,Unresolved->Directional->Degrading,1,20.00
ES,RTH,200,Unresolved->Unresolved,Unresolved->Unresolved->Balance,7,6.09
ES,RTH,200,Unresolved->Balance,Unresolved->Balance->Unresolved,7,77.78
ES,RTH,200,Balance->Unresolved,Balance->Unresolved->Unresolved,6,75.00
ES,RTH,200,Unresolved->Unresolved,Unresolved->Unresolved->Degrading,3,2.61
ES,RTH,200,Unresolved->Degrading,Unresolved->Degrading->Directional,1,16.67
ES,RTH,200,Degrading->Directional,Degrading->Directional->Degrading,1,100.00
ES,RTH,200,Degrading->Unresolved,Degrading->Unresolved->Degrading,2,18.18
ES,RTH,200,Unresolved->Degrading,Unresolved->Degrading->Unresolved,3,50.00
ES,RTH,200,Degrading->Unresolved,Degrading->Unresolved->Directional,1,9.09
