Instrument,SessionContext,TotalBars,FromState,Transition,ProbabilityPct
ES,ETH,50,Unknown,Unknown->Unknown,66.67
ES,ETH,50,Unknown,Unknown->Unresolved,33.33
ES,ETH,50,Unresolved,Unresolved->Unresolved,95.12
ES,ETH,50,Unresolved,Unresolved->Unknown,2.44
ES,ETH,50,Unresolved,Unresolved->Directional,2.44
ES,ETH,50,Directional,Directional->Directional,50.00
ES,ETH,50,Directional,Directional->Degrading,50.00
ES,ETH,100,Unknown,Unknown->Unknown,66.67
ES,ETH,100,Unknown,Unknown->Unresolved,33.33
ES,ETH,100,Unresolved,Unresolved->Unresolved,93.51
ES,ETH,100,Unresolved,Unresolved->Unknown,1.30
ES,ETH,100,Unresolved,Unresolved->Directional,3.90
ES,ETH,100,Directional,Directional->Directional,66.67
ES,ETH,100,Directional,Directional->Degrading,33.33
ES,ETH,100,Degrading,Degrading->Unresolved,60.00
ES,ETH,100,Degrading,Degrading->Balance,20.00
ES,ETH,100,Balance,Balance->Degrading,50.00
ES,ETH,100,Degrading,Degrading->Degrading,20.00
ES,ETH,100,Unresolved,Unresolved->Balance,1.30
ES,ETH,100,Balance,Balance->Unresolved,50.00
ES,ETH,150,Unknown,Unknown->Unknown,66.67
ES,ETH,150,Unknown,Unknown->Unresolved,33.33
ES,ETH,150,Unresolved,Unresolved->Unresolved,87.38
ES,ETH,150,Unresolved,Unresolved->Unknown,0.97
ES,ETH,150,Unresolved,Unresolved->Directional,4.85
ES,ETH,150,Directional,Directional->Directional,70.00
ES,ETH,150,Directional,Directional->Degrading,30.00
ES,ETH,150,Degrading,Degrading->Unresolved,46.67
ES,ETH,150,Degrading,Degrading->Balance,6.67
ES,ETH,150,Balance,Balance->Degrading,20.00
ES,ETH,150,Degrading,Degrading->Degrading,40.00
ES,ETH,150,Unresolved,Unresolved->Balance,4.85
ES,ETH,150,Balance,Balance->Unresolved,80.00
ES,ETH,150,Unresolved,Unresolved->Degrading,1.94
