Instrument,SessionContext,TotalBars,Transition,Count
ES,ETH,50,Unknown->Unknown,4
ES,ETH,50,Unknown->Unresolved,1
ES,ETH,50,Unresolved->Unresolved,20
ES,ETH,50,Unresolved->Directional,2
ES,ETH,50,Directional->Directional,6
ES,ETH,50,Directional->Unresolved,1
ES,ETH,50,Unresolved->Degrading,1
ES,ETH,50,Degrading->Unresolved,2
ES,ETH,50,Directional->Degrading,1
ES,ETH,50,Degrading->Degrading,1
ES,ETH,50,Unresolved->Balance,4
ES,ETH,50,Balance->Balance,2
ES,ETH,50,Balance->Unresolved,4
ES,ETH,100,Unknown->Unknown,4
ES,ETH,100,Unknown->Unresolved,1
ES,ETH,100,Unresolved->Unresolved,68
ES,ETH,100,Unresolved->Directional,3
ES,ETH,100,Directional->Directional,6
ES,ETH,100,Directional->Unresolved,1
ES,ETH,100,Unresolved->Degrading,1
ES,ETH,100,Degrading->Unresolved,2
ES,ETH,100,Directional->Degrading,2
ES,ETH,100,Degrading->Degrading,1
ES,ETH,100,Unresolved->Balance,4
ES,ETH,100,Balance->Balance,2
ES,ETH,100,Balance->Unresolved,4
ES,ETH,150,Unknown->Unknown,4
ES,ETH,150,Unknown->Unresolved,1
ES,ETH,150,Unresolved->Unresolved,89
ES,ETH,150,Unresolved->Directional,4
ES,ETH,150,Directional->Directional,13
ES,ETH,150,Directional->Unresolved,1
ES,ETH,150,Unresolved->Degrading,2
ES,ETH,150,Degrading->Unresolved,5
ES,ETH,150,Directional->Degrading,7
ES,ETH,150,Degrading->Degrading,9
ES,ETH,150,Unresolved->Balance,4
ES,ETH,150,Balance->Balance,2
ES,ETH,150,Balance->Unresolved,4
ES,ETH,150,Degrading->Directional,4
ES,ETH,200,Unknown->Unknown,4
ES,ETH,200,Unknown->Unresolved,1
ES,ETH,200,Unresolved->Unresolved,129
ES,ETH,200,Unresolved->Directional,5
ES,ETH,200,Directional->Directional,14
ES,ETH,200,Directional->Unresolved,1
ES,ETH,200,Unresolved->Degrading,4
ES,ETH,200,Degrading->Unresolved,8
ES,ETH,200,Directional->Degrading,8
ES,ETH,200,Degrading->Degrading,9
ES,ETH,200,Unresolved->Balance,5
ES,ETH,200,Balance->Balance,2
ES,ETH,200,Balance->Unresolved,5
ES,ETH,200,Degrading->Directional,4
ES,ETH,250,Unknown->Unknown,4
ES,ETH,250,Unknown->Unresolved,1
ES,ETH,250,Unresolved->Unresolved,176
ES,ETH,250,Unresolved->Directional,5
ES,ETH,250,Directional->Directional,14
ES,ETH,250,Directional->Unresolved,1
ES,ETH,250,Unresolved->Degrading,5
ES,ETH,250,Degrading->Unresolved,9
ES,ETH,250,Directional->Degrading,8
ES,ETH,250,Degrading->Degrading,10
ES,ETH,250,Unresolved->Balance,5
ES,ETH,250,Balance->Balance,2
ES,ETH,250,Balance->Unresolved,5
ES,ETH,250,Degrading->Directional,4
ES,ETH,300,Unknown->Unknown,4
ES,ETH,300,Unknown->Unresolved,1
ES,ETH,300,Unresolved->Unresolved,209
ES,ETH,300,Unresolved->Directional,8
ES,ETH,300,Directional->Directional,18
ES,ETH,300,Directional->Unresolved,3
ES,ETH,300,Unresolved->Degrading,6
ES,ETH,300,Degrading->Unresolved,10
ES,ETH,300,Directional->Degrading,9
ES,ETH,300,Degrading->Degrading,14
ES,ETH,300,Unresolved->Balance,5
ES,ETH,300,Balance->Balance,2
ES,ETH,300,Balance->Unresolved,5
ES,ETH,300,Degrading->Directional,5
ES,ETH,350,Unknown->Unknown,4
ES,ETH,350,Unknown->Unresolved,1
ES,ETH,350,Unresolved->Unresolved,224
ES,ETH,350,Unresolved->Directional,8
ES,ETH,350,Directional->Directional,18
ES,ETH,350,Directional->Unresolved,3
ES,ETH,350,Unresolved->Degrading,10
ES,ETH,350,Degrading->Unresolved,15
ES,ETH,350,Directional->Degrading,10
ES,ETH,350,Degrading->Degrading,21
ES,ETH,350,Unresolved->Balance,8
ES,ETH,350,Balance->Balance,10
ES,ETH,350,Balance->Unresolved,8
ES,ETH,350,Degrading->Directional,5
ES,ETH,350,Balance->Degrading,2
ES,ETH,350,Degrading->Balance,2
ES,ETH,400,Unknown->Unknown,4
ES,ETH,400,Unknown->Unresolved,1
ES,ETH,400,Unresolved->Unresolved,255
ES,ETH,400,Unresolved->Directional,9
ES,ETH,400,Directional->Directional,20
ES,ETH,400,Directional->Unresolved,3
ES,ETH,400,Unresolved->Degrading,14
ES,ETH,400,Degrading->Unresolved,19
ES,ETH,400,Directional->Degrading,10
ES,ETH,400,Degrading->Degrading,27
ES,ETH,400,Unresolved->Balance,9
ES,ETH,400,Balance->Balance,10
ES,ETH,400,Balance->Unresolved,9
ES,ETH,400,Degrading->Directional,5
ES,ETH,400,Balance->Degrading,2
ES,ETH,400,Degrading->Balance,2
ES,ETH,450,Unknown->Unknown,4
ES,ETH,450,Unknown->Unresolved,1
ES,ETH,450,Unresolved->Unresolved,278
ES,ETH,450,Unresolved->Directional,10
ES,ETH,450,Directional->Directional,25
ES,ETH,450,Directional->Unresolved,3
ES,ETH,450,Unresolved->Degrading,16
ES,ETH,450,Degrading->Unresolved,23
ES,ETH,450,Directional->Degrading,12
ES,ETH,450,Degrading->Degrading,32
ES,ETH,450,Unresolved->Balance,12
ES,ETH,450,Balance->Balance,11
ES,ETH,450,Balance->Unresolved,11
ES,ETH,450,Degrading->Directional,5
ES,ETH,450,Balance->Degrading,3
ES,ETH,450,Degrading->Balance,3
ES,ETH,500,Unknown->Unknown,4
ES,ETH,500,Unknown->Unresolved,1
ES,ETH,500,Unresolved->Unresolved,299
